,AMSR_111496_Ct_essi,NA_CCM5043_Ct_essi,NA_CCM5044_Ct_essi,NA_K021_Ct_essi,NA_K073_Ct_essi,NTMR_13717_Ct_essi
AMSR_111496_Ct_essi,NA,0.619047619047619,0.623188405797101,0.924242424242424,0.657142857142857,0.625
NA_CCM5043_Ct_essi,0.619047619047619,NA,0.313253012048193,0.238636363636364,0.176470588235294,0.104166666666667
NA_CCM5044_Ct_essi,0.623188405797101,0.313253012048193,NA,0.563380281690141,0.337837837837838,0.268292682926829
NA_K021_Ct_essi,0.924242424242424,0.238636363636364,0.563380281690141,NA,0.371428571428571,0.407894736842105
NA_K073_Ct_essi,0.657142857142857,0.176470588235294,0.337837837837838,0.371428571428571,NA,0.3375
NTMR_13717_Ct_essi,0.625,0.104166666666667,0.268292682926829,0.407894736842105,0.3375,NA
