,NA_CCM0750_Ct_haly,NA_CCM0751_Ct_haly,NA_CCM0804_Ct_haly,NA_CCM0816_Ct_haly,NA_CCM0817_Ct_haly,NA_CCM0820_Ct_haly
NA_CCM0750_Ct_haly,NA,0,1.47131846407856,1.47131846407856,1.47131846407856,2.06514170628062
NA_CCM0751_Ct_haly,0,NA,1.47131846407856,1.47131846407856,1.47131846407856,2.06514170628062
NA_CCM0804_Ct_haly,1.47131846407856,1.47131846407856,NA,0,0,0.606766272595426
NA_CCM0816_Ct_haly,1.47131846407856,1.47131846407856,0,NA,0,0.606766272595426
NA_CCM0817_Ct_haly,1.47131846407856,1.47131846407856,0,0,NA,0.606766272595426
NA_CCM0820_Ct_haly,2.06514170628062,2.06514170628062,0.606766272595426,0.606766272595426,0.606766272595426,NA
