,CUMV_14305_Ct_gran,CUMV_14312_Ct_gran,SAMR_48821_Ct_gran,UMMZ_242608_Ct_gran,UMMZ_242609_Ct_gran,UMMZ_242613_Ct_gran
CUMV_14305_Ct_gran,NA,537.781554164886,433.208956509442,3093.42884191636,3101.33664731838,1887.02358225858
CUMV_14312_Ct_gran,537.781554164886,NA,135.199852070925,2564.82455540335,2572.46068968993,1360.26798830231
SAMR_48821_Ct_gran,433.208956509442,135.199852070925,NA,2664.62042324981,2672.57796892813,1458.96333058785
UMMZ_242608_Ct_gran,3093.42884191636,2564.82455540335,2664.62042324981,NA,12.1243556529821,1206.45265137095
UMMZ_242609_Ct_gran,3101.33664731838,2572.46068968993,2672.57796892813,12.1243556529821,NA,1214.40479248066
UMMZ_242613_Ct_gran,1887.02358225858,1360.26798830231,1458.96333058785,1206.45265137095,1214.40479248066,NA
