,NA_ABTC61569_Ct_robu,NA_CCM2497_Ct_spal,NA_CCM5477_Ct_vert,NTMR_21670_Ct_spal,NTMR_22298_Ct_spal,NTMR_22299_Ct_spal,NTMR_22325_Ct_spal,NTMR_22621_Ct_spal,NTMR_22622_Ct_spal,SAMAR_34202_Ct_spal,SAMAR_51093_Ct_spal,SAMAR_54485_Ct_spal,SAMAR_55675_Ct_spal,SAMR_21493_Ct_robu,SAMR_28536_Ct_robu,SAMR_32932_Ct_robu,SAMR_33525_Ct_robu,SAMR_33695_Ct_robu,SAMR_33876_Ct_robu,SAMR_36313_Ct_robu,SAMR_39480_Ct_robu,SAMR_40718_Ct_robu,SAMR_46204_Ct_robu,SAMR_48684_Ct_robu,SAMR_48962_Ct_robu,SAMR_49609_Ct_robu,SAMR_50372_Ct_robu,SAMR_52303_Ct_robu,SAMR_55725_Ct_spal
NA_ABTC61569_Ct_robu,NA,16,5.1,7.75,12.1818181818182,8.53333333333333,9,8,10,8.13333333333333,8.66666666666667,11.0909090909091,7.53846153846154,2.07142857142857,2.53846153846154,1.05,0.8,0.636363636363636,0.928571428571428,1.39130434782609,1.52941176470588,2.47058823529412,2.5,2.84615384615385,2.82352941176471,1.29411764705882,1.71428571428571,1.45,5.25
NA_CCM2497_Ct_spal,16,NA,0.2,0.466666666666667,1.25,0.857142857142857,0.666666666666667,0.357142857142857,0.909090909090909,0.461538461538462,0.25,1.27272727272727,0.857142857142857,15.7777777777778,12.6,9.57142857142857,8,7.17647058823529,6.6,8.4,13.0909090909091,10.8333333333333,12.6,15.75,12.7272727272727,14.6666666666667,9.2,7.17647058823529,0.571428571428572
NA_CCM5477_Ct_vert,5.1,0.2,NA,0.277777777777778,0,0.157894736842105,-0.0526315789473684,-0.0526315789473684,0.0526315789473684,0.0476190476190476,-0.133333333333333,0.75,0.4,6.66666666666667,6.92307692307692,5,4,3.95454545454545,3.48148148148148,4.57142857142857,4.76190476190476,5.52941176470588,6.4,7.5,6.93333333333333,5.11111111111111,4.63636363636364,4.28571428571429,0.157894736842105
NTMR_21670_Ct_spal,7.75,0.466666666666667,0.277777777777778,NA,0.142857142857143,-0.1,0,0.0526315789473684,-0.117647058823529,0.105263157894737,0.125,0.8125,0.705882352941176,8.53333333333333,8.46153846153846,6.42105263157895,5.18181818181818,4.86363636363637,4.46153846153846,5.89473684210526,6.55555555555556,8.42857142857143,8.28571428571429,9.81818181818182,8.26666666666667,7.625,6.73684210526316,5.47619047619048,0.529411764705882
NTMR_22298_Ct_spal,12.1818181818182,1.25,0,0.142857142857143,NA,0.0714285714285714,-0.0769230769230769,0.0714285714285714,0.166666666666667,0.357142857142857,-0.153846153846154,1.54545454545455,0.615384615384615,13.6,14.375,10.4615384615385,8.2,7.375,5.63636363636363,8,9.84615384615384,11.3636363636364,12.7,16.8571428571428,13.2,11.8181818181818,9.42857142857142,7.11764705882353,0.538461538461538
NTMR_22299_Ct_spal,8.53333333333333,0.857142857142857,0.157894736842105,-0.1,0.0714285714285714,NA,0.0526315789473684,-0.0526315789473684,0,0.05,0.117647058823529,1,0.352941176470588,9.42857142857142,8.76923076923076,7.52941176470588,5.42857142857143,5.6,4.55555555555555,5.52380952380952,6.88888888888889,8.26666666666667,8.13333333333333,9.83333333333333,8.53333333333333,7.75,6.94736842105263,5.36363636363636,0.25
NTMR_22325_Ct_spal,9,0.666666666666667,-0.0526315789473684,0,-0.0769230769230769,0.0526315789473684,NA,-0.111111111111111,0.1875,0,-0.133333333333333,1.30769230769231,0.533333333333333,7.75,11.3,6.88888888888889,6.05263157894737,6.22222222222222,4.64,6.31578947368421,7.625,9,9.91666666666666,11.2,10.5,7.86666666666666,7.75,6.38888888888889,0.4
NTMR_22621_Ct_spal,8,0.357142857142857,-0.0526315789473684,0.0526315789473684,0.0714285714285714,-0.0526315789473684,-0.111111111111111,NA,-0.176470588235294,-0.210526315789474,-0.117647058823529,0.9375,0.388888888888889,6.875,8.75,5.77777777777778,4.80952380952381,5.5,4.72727272727273,5.47368421052632,6.9375,7,7.5,9.09090909090909,8,7.28571428571428,6.33333333333333,6.29411764705882,0.428571428571429
NTMR_22622_Ct_spal,10,0.909090909090909,0.0526315789473684,-0.117647058823529,0.166666666666667,0,0.1875,-0.176470588235294,NA,0.0555555555555556,0,1.5,0.733333333333333,9.15384615384615,10.9,8.35714285714286,5.89473684210526,7.4,5.42857142857143,6.9375,7.93333333333333,10.6363636363636,9.07692307692307,11,10.3333333333333,8.53846153846154,7.875,6.33333333333333,0.3125
SAMAR_34202_Ct_spal,8.13333333333333,0.461538461538462,0.0476190476190476,0.105263157894737,0.357142857142857,0.05,0,-0.210526315789474,0.0555555555555556,NA,-0.111111111111111,0.866666666666667,0.647058823529412,8.53333333333333,10.1818181818182,6.63157894736842,5.85,4.90909090909091,4.76,6.27777777777778,7.17647058823529,7.73333333333334,9.15384615384615,9.16666666666667,8.85714285714286,8.57142857142857,6.88888888888889,6.21052631578947,0.294117647058824
