,CUMV_14845_Ct_calu,WAMR_102658_Ct_nasu,WAMR_139414_Ct_nigr,WAMR_157327_Ct_rufe
CUMV_14845_Ct_calu,NA,0.646616541353383,3.2125,3.03846153846154
WAMR_102658_Ct_nasu,0.646616541353383,NA,3.4,2.97701149425287
WAMR_139414_Ct_nigr,3.2125,3.4,NA,5.74418604651163
WAMR_157327_Ct_rufe,3.03846153846154,2.97701149425287,5.74418604651163,NA
