,AMSR_138399_Ct_uber,AMSR_152993_Ct_uber,SAMAR_25645_Ct_orie,SAMAR_38335_Ct_orie,SAMAR_39580_Ct_orie,SAMAR_49444_Ct_orie,SAMAR_52918_Ct_orie,SAMAR_61391_Ct_orie,WAMR_112780_Ct_orie
AMSR_138399_Ct_uber,NA,53.0646976122105,988.028301137286,595.775075580472,712.83600742312,806.228908877981,322.502743530938,924.198116243704,1769.88722413622
AMSR_152993_Ct_uber,53.0646976122105,NA,940.009352064728,548.165784781514,672.245391594234,764.474503548087,273.134156198638,874.304335979129,1722.5922474814
SAMAR_25645_Ct_orie,988.028301137286,940.009352064728,NA,752.560538887501,920.268845893796,927.970774543437,667.211230388811,107.227507588606,783.274136662696
SAMAR_38335_Ct_orie,595.775075580472,548.165784781514,752.560538887501,NA,193.936305987227,254.48468855817,431.283788984615,648.949454162515,1474.17851857372
SAMAR_39580_Ct_orie,712.83600742312,672.245391594234,920.268845893796,193.936305987227,NA,96.2939313360534,609.151747727701,813.973097494481,1604.76113482534
SAMAR_49444_Ct_orie,806.228908877981,764.474503548087,927.970774543437,254.48468855817,96.2939313360534,NA,683.894055726809,820.767006432145,1580.03913039912
SAMAR_52918_Ct_orie,322.502743530938,273.134156198638,667.211230388811,431.283788984615,609.151747727701,683.894055726809,NA,601.705594706592,1450.20214081868
SAMAR_61391_Ct_orie,924.198116243704,874.304335979129,107.227507588606,648.949454162515,813.973097494481,820.767006432145,601.705594706592,NA,860.775517257119
WAMR_112780_Ct_orie,1769.88722413622,1722.5922474814,783.274136662696,1474.17851857372,1604.76113482534,1580.03913039912,1450.20214081868,860.775517257119,NA
