,NA_ABTC113898_Ct_stra,SAMAR_34780_Ct_stra,SAMAR_37916_Ct_stra,SAMAR_41349_Ct_stra,SAMAR_42343_Ct_stra,SAMAR_42800_Ct_stra,SAMAR_42955_Ct_stra,SAMAR_48386_Ct_stra,SAMAR_50902_Ct_stra,SAMR_42487_Ct_stra,SAMR_44903_Ct_stra,SAMR_44955_Ct_stra,SAMR_45029_Ct_stra,SAMR_46857_Ct_stra
NA_ABTC113898_Ct_stra,NA,2,1.0952380952381,1.92156862745098,1.36206896551724,1.66666666666667,1.28813559322034,2.20454545454545,1.3448275862069,2.42105263157895,1.41935483870968,1.64285714285714,1.0327868852459,1.50943396226415
SAMAR_34780_Ct_stra,2,NA,0.228070175438597,2.36585365853659,1.40740740740741,1.90243902439024,1.06896551724138,0.7,1.16981132075472,0.897435897435898,0.481481481481481,0.5,1.31034482758621,0.62
SAMAR_37916_Ct_stra,1.0952380952381,0.228070175438597,NA,1.14516129032258,0.884615384615385,1.15625,0.947368421052632,0.233333333333333,0.909090909090909,0.406779661016949,0.209876543209877,0.4,0.761904761904762,0.464788732394366
SAMAR_41349_Ct_stra,1.92156862745098,2.36585365853659,1.14516129032258,NA,0.65625,1.9,1.03030303030303,2.53333333333333,1.14754098360656,2.925,1.04615384615385,1.24242424242424,0.901408450704225,1.78571428571429
SAMAR_42343_Ct_stra,1.36206896551724,1.40740740740741,0.884615384615385,0.65625,NA,1.046875,0.649350649350649,1.45614035087719,0.67948717948718,1.7962962962963,0.746666666666667,0.906666666666667,0.768292682926829,1.1
SAMAR_42800_Ct_stra,1.66666666666667,1.90243902439024,1.15625,1.9,1.046875,NA,1.10909090909091,2.15555555555556,1.08196721311475,2.225,1.16666666666667,1.27118644067797,0.869565217391304,1.59649122807018
SAMAR_42955_Ct_stra,1.28813559322034,1.06896551724138,0.947368421052632,1.03030303030303,0.649350649350649,1.10909090909091,NA,1.39285714285714,0.693333333333333,1.60714285714286,0.716216216216216,0.929577464788733,0.20253164556962,1.18181818181818
SAMAR_48386_Ct_stra,2.20454545454545,0.7,0.233333333333333,2.53333333333333,1.45614035087719,2.15555555555556,1.39285714285714,NA,1.71428571428571,0.743589743589744,0.716666666666667,0.637931034482759,1.171875,0.803571428571428
SAMAR_50902_Ct_stra,1.3448275862069,1.16981132075472,0.909090909090909,1.14754098360656,0.67948717948718,1.08196721311475,0.693333333333333,1.71428571428571,NA,1.96153846153846,0.689189189189189,1.08450704225352,0.620253164556962,1.31818181818182
SAMR_42487_Ct_stra,2.42105263157895,0.897435897435898,0.406779661016949,2.925,1.7962962962963,2.225,1.60714285714286,0.743589743589744,1.96153846153846,NA,0.8,0.925925925925926,1.42372881355932,1.0625
SAMR_44903_Ct_stra,1.41935483870968,0.481481481481481,0.209876543209877,1.04615384615385,0.746666666666667,1.16666666666667,0.716216216216216,0.716666666666667,0.689189189189189,0.8,NA,0.181818181818182,0.8,0.48
SAMR_44955_Ct_stra,1.64285714285714,0.5,0.4,1.24242424242424,0.906666666666667,1.27118644067797,0.929577464788733,0.637931034482759,1.08450704225352,0.925925925925926,0.181818181818182,NA,1.0253164556962,0.5
SAMR_45029_Ct_stra,1.0327868852459,1.31034482758621,0.761904761904762,0.901408450704225,0.768292682926829,0.869565217391304,0.20253164556962,1.171875,0.620253164556962,1.42372881355932,0.8,1.0253164556962,NA,1.04166666666667
SAMR_46857_Ct_stra,1.50943396226415,0.62,0.464788732394366,1.78571428571429,1.1,1.59649122807018,1.18181818181818,0.803571428571428,1.31818181818182,1.0625,0.48,0.5,1.04166666666667,NA
