,NA_CCM4853_Ct_essi,NA_CCM6122_Ct_essi,NA_CCM6150_Ct_essi,NA_NEB008_Ct_essi,NTMR_22188_Ct_essi,NTMR_22191_Ct_essi
NA_CCM4853_Ct_essi,NA,20.3715487874634,43.4741302385683,432.301977788675,324.248361599562,324.248361599562
NA_CCM6122_Ct_essi,20.3715487874634,NA,28.9309522829789,414.70712557177,312.83861654214,312.83861654214
NA_CCM6150_Ct_essi,43.4741302385683,28.9309522829789,NA,414.790308469231,284.223503602359,284.223503602359
NA_NEB008_Ct_essi,432.301977788675,414.70712557177,414.790308469231,NA,510.029410916665,510.029410916665
NTMR_22188_Ct_essi,324.248361599562,312.83861654214,284.223503602359,510.029410916665,NA,0
NTMR_22191_Ct_essi,324.248361599562,312.83861654214,284.223503602359,510.029410916665,0,NA
