,NA_ABTC86833_Ct_regi,SAMAR_31877_Ct_regi,SAMAR_32289_Ct_regi,SAMAR_40597_Ct_regi,SAMAR_40888_Ct_regi,SAMAR_48098_Ct_regi,SAMAR_51242_Ct_regi,SAMAR_51421_Ct_regi,SAMAR_53967_Ct_regi,SAMAR_54164_Ct_regi,SAMAR_57181_Ct_regi,SAMAR_57722_Ct_regi,SAMR_36241_Ct_hele,SAMR_47236_Ct_regi,SAMR_48330_Ct_regi,SAMR_55163_Ct_regi
NA_ABTC86833_Ct_regi,NA,866.796525281218,1253.98930579403,946.836430843533,284.896612671774,494.773362744356,1184.67974005494,1052.8000034707,1412.20612613677,844.487959943304,1266.10511485881,518.461824417354,1433.0273790027,809.981474715773,305.886378106379,215.913640738728
SAMAR_31877_Ct_regi,866.796525281218,NA,394.99242121971,164.745134916952,595.363801244024,670.015391472185,437.591345798359,637.876713123136,712.626814011625,540.1082382301,403.142460274673,368.335466479021,654.053071164235,344.203904119269,665.975536676039,650.899447980126
SAMAR_32289_Ct_regi,1253.98930579403,394.99242121971,NA,398.676214859058,974.949145580301,1048.3320672734,456.273754005989,838.373094688701,666.484614092492,829.251618576101,161.163774544775,740.25277522466,523.275097747269,654.989498665136,1060.42788933326,1039.03728822728
SAMAR_40597_Ct_regi,946.836430843533,164.745134916952,398.676214859058,NA,695.436152597078,660.690819951096,279.553357282778,496.551251421996,552.691740556838,439.218734390824,339.666386351613,488.979372525233,511.266442585159,256.748790745274,705.015578736933,734.006286441821
SAMAR_40888_Ct_regi,284.896612671774,595.363801244024,974.949145580301,695.436152597078,NA,454.660621581776,953.992036068026,905.17717470573,1202.58870842679,702.918297556676,998.251942097271,235.340117868465,1199.37088673588,611.096472862833,275.25082120676,95.1419142330029
SAMAR_48098_Ct_regi,494.773362744356,670.015391472185,1048.3320672734,660.690819951096,454.660621581776,NA,817.063936392867,581.566212442703,993.257938280619,381.494932383197,998.930409973234,511.9884052505,1055.5044288419,431.759219739137,199.755108453637,391.81440695747
SAMAR_51242_Ct_regi,1184.67974005494,437.591345798359,456.273754005989,279.553357282778,953.992036068026,817.063936392867,NA,412.206126949408,275.152796373661,481.964801657847,309.501014652153,762.25123891247,248.37450080721,389.757529926337,912.841435800456,979.585141012365
SAMAR_51421_Ct_regi,1052.8000034707,637.876713123136,838.373094688701,496.551251421996,905.17717470573,581.566212442703,412.206126949408,NA,456.500972747487,208.478905967447,710.8376101883,800.220038338701,575.853478525428,329.888666265307,747.701231703545,889.181833727809
SAMAR_53967_Ct_regi,1412.20612613677,712.626814011625,666.484614092492,552.691740556838,1202.58870842679,993.257938280619,275.152796373661,456.500972747487,NA,617.458126912349,505.372467724873,1025.74269303475,175.14838751068,602.328389026785,1122.81375811933,1217.07270178872
SAMAR_54164_Ct_regi,844.487959943304,540.1082382301,829.251618576101,439.218734390824,702.918297556676,381.494932383197,481.964801657847,208.478905967447,617.458126912349,NA,732.631481152943,620.82504954804,699.593412472513,195.927162450008,539.7532790924,682.357259659831
SAMAR_57181_Ct_regi,1266.10511485881,403.142460274673,161.163774544775,339.666386351613,998.251942097271,998.930409973234,309.501014652153,710.8376101883,505.372467724873,732.631481152943,NA,770.75472027948,364.686014070743,579.274375303843,1041.19989442304,1050.42541688216
SAMAR_57722_Ct_regi,518.461824417354,368.335466479021,740.25277522466,488.979372525233,235.340117868465,511.9884052505,762.25123891247,800.220038338701,1025.74269303475,620.82504954804,770.75472027948,NA,1000.14342001756,475.109232302142,403.883244484489,309.122320578428
SAMR_36241_Ct_hele,1433.0273790027,654.053071164235,523.275097747269,511.266442585159,1199.37088673588,1055.5044288419,248.37450080721,575.853478525428,175.14838751068,699.593412472513,364.686014070743,1000.14342001756,NA,634.673577715297,1159.82208540786,1227.33847829106
SAMR_47236_Ct_regi,809.981474715773,344.203904119269,654.989498665136,256.748790745274,611.096472862833,431.759219739137,389.757529926337,329.888666265307,602.328389026785,195.927162450008,579.274375303843,475.109232302142,634.673577715297,NA,526.078916048283,616.659986946823
SAMR_48330_Ct_regi,305.886378106379,665.975536676039,1060.42788933326,705.015578736933,275.25082120676,199.755108453637,912.841435800456,747.701231703545,1122.81375811933,539.7532790924,1041.19989442304,403.883244484489,1159.82208540786,526.078916048283,NA,198.313868433637
SAMR_55163_Ct_regi,215.913640738728,650.899447980126,1039.03728822728,734.006286441821,95.1419142330029,391.81440695747,979.585141012365,889.181833727809,1217.07270178872,682.357259659831,1050.42541688216,309.122320578428,1227.33847829106,616.659986946823,198.313868433637,NA
