,NTMR_25649_Ct_leon,SAMR_22246_Ct_leon,SAMR_46944_Ct_leon,SAMR_49090_Ct_leon,SAMR_51082_Ct_leon,SAMR_51580_Ct_leon
NTMR_25649_Ct_leon,NA,1035.46945874806,137.277092043793,152.207095761006,1540.02370111632,102.454868112745
SAMR_22246_Ct_leon,1035.46945874806,NA,1151.31663759367,1176.72851584382,565.641229048944,936.406962810508
SAMR_46944_Ct_leon,137.277092043793,1151.31663759367,NA,39.1407715815619,1665.84633144837,235.605602649852
SAMR_49090_Ct_leon,152.207095761006,1176.72851584382,39.1407715815619,NA,1686.19215986791,253.223221683952
SAMR_51082_Ct_leon,1540.02370111632,565.641229048944,1665.84633144837,1686.19215986791,NA,1438.94753205251
SAMR_51580_Ct_leon,102.454868112745,936.406962810508,235.605602649852,253.223221683952,1438.94753205251,NA
