,UMMZ_242643_Ct_pant,WAMR_104950_Ct_pant,WAMR_108591_Ct_pant,WAMR_132520_Ct_pant,WAMR_135379_Ct_pant,WAMR_145526_Ct_pant,WAMR_158463_Ct_pant
UMMZ_242643_Ct_pant,NA,723.43299529737,555.294919104562,692.941489239281,553.321303312117,755.898319955885,424.88522602946
WAMR_104950_Ct_pant,723.43299529737,NA,285.564315851035,254.022732409812,184.571064633632,65.845168845748,507.943888507563
WAMR_108591_Ct_pant,555.294919104562,285.564315851035,NA,137.735509462905,139.909881412439,273.813490304887,230.185038497403
WAMR_132520_Ct_pant,692.941489239281,254.022732409812,137.735509462905,NA,205.896061014578,211.952125312862,344.306844318445
WAMR_135379_Ct_pant,553.321303312117,184.571064633632,139.909881412439,205.896061014578,NA,203.889454934756,333.607867745935
WAMR_145526_Ct_pant,755.898319955885,65.845168845748,273.813490304887,211.952125312862,203.889454934756,NA,503.12679833832
WAMR_158463_Ct_pant,424.88522602946,507.943888507563,230.185038497403,344.306844318445,333.607867745935,503.12679833832,NA
