,NA_ABTC113897_Ct_hebe,SAMAR_42776_Ct_hebe,SAMAR_42788_Ct_hebe,SAMAR_42880_Ct_hebe,SAMAR_55677_Ct_hebe,SAMR_55678_Ct_hebe,SAMR_65346_Ct_hebe,SAMR_65347_Ct_hebe,SAMR_65379_Ct_hebe,SAMR_65380_Ct_hebe
NA_ABTC113897_Ct_hebe,NA,980.223443914703,424.280567549352,688.04796344441,2066.48542216005,2063.26658481157,713.586715122976,713.586715122976,680.36901751917,680.36901751917
SAMAR_42776_Ct_hebe,980.223443914703,NA,566.515666155844,294.462221685567,1087.63504908586,1084.36755761135,268.756395272745,268.756395272745,306.480015661707,306.480015661707
SAMAR_42788_Ct_hebe,424.280567549352,566.515666155844,NA,287.374320355873,1653.5180676364,1650.22089430476,297.909382195325,297.909382195325,287.836759292485,287.836759292485
SAMAR_42880_Ct_hebe,688.04796344441,294.462221685567,287.374320355873,NA,1378.63338128743,1375.42175349963,63.3245607959503,63.3245607959503,24.6981780704569,24.6981780704569
SAMAR_55677_Ct_hebe,2066.48542216005,1087.63504908586,1653.5180676364,1378.63338128743,NA,3.60555127546399,1356.24334099748,1356.24334099748,1387.15464170366,1387.15464170366
SAMR_55678_Ct_hebe,2063.26658481157,1084.36755761135,1650.22089430476,1375.42175349963,3.60555127546399,NA,1352.96526193395,1352.96526193395,1383.97073668485,1383.97073668485
SAMR_65346_Ct_hebe,713.586715122976,268.756395272745,297.909382195325,63.3245607959503,1356.24334099748,1352.96526193395,NA,0,87.4642784226795,87.4642784226795
SAMR_65347_Ct_hebe,713.586715122976,268.756395272745,297.909382195325,63.3245607959503,1356.24334099748,1352.96526193395,0,NA,87.4642784226795,87.4642784226795
SAMR_65379_Ct_hebe,680.36901751917,306.480015661707,287.836759292485,24.6981780704569,1387.15464170366,1383.97073668485,87.4642784226795,87.4642784226795,NA,0
SAMR_65380_Ct_hebe,680.36901751917,306.480015661707,287.836759292485,24.6981780704569,1387.15464170366,1383.97073668485,87.4642784226795,87.4642784226795,0,NA
