,CUMV_14305_Ct_gran,CUMV_14312_Ct_gran,SAMR_48821_Ct_gran,UMMZ_242608_Ct_gran,UMMZ_242609_Ct_gran,UMMZ_242613_Ct_gran
CUMV_14305_Ct_gran,NA,311.744197747037,870.506429482239,922.268275922919,925.243105440421,1008.27652366995
CUMV_14312_Ct_gran,311.744197747037,NA,633.328791725625,1112.31526096789,1114.81209978535,1068.02709195593
SAMR_48821_Ct_gran,870.506429482239,633.328791725625,NA,1232.42193772766,1233.39331818898,933.670573069824
UMMZ_242608_Ct_gran,922.268275922919,1112.31526096789,1232.42193772766,NA,3.37783039661366,468.968340843788
UMMZ_242609_Ct_gran,925.243105440421,1114.81209978535,1233.39331818898,3.37783039661366,NA,467.558676981126
UMMZ_242613_Ct_gran,1008.27652366995,1068.02709195593,933.670573069824,468.968340843788,467.558676981126,NA
