,SAMAR_25645_Ct_orie,SAMAR_38335_Ct_orie,SAMAR_39580_Ct_orie,SAMAR_49444_Ct_orie,SAMAR_52918_Ct_orie,SAMAR_61391_Ct_orie,WAMR_112780_Ct_orie
SAMAR_25645_Ct_orie,NA,752.560538887501,920.268845893796,927.970774543437,667.211230388811,107.227507588606,783.274136662696
SAMAR_38335_Ct_orie,752.560538887501,NA,193.936305987227,254.48468855817,431.283788984615,648.949454162515,1474.17851857372
SAMAR_39580_Ct_orie,920.268845893796,193.936305987227,NA,96.2939313360534,609.151747727701,813.973097494481,1604.76113482534
SAMAR_49444_Ct_orie,927.970774543437,254.48468855817,96.2939313360534,NA,683.894055726809,820.767006432145,1580.03913039912
SAMAR_52918_Ct_orie,667.211230388811,431.283788984615,609.151747727701,683.894055726809,NA,601.705594706592,1450.20214081868
SAMAR_61391_Ct_orie,107.227507588606,648.949454162515,813.973097494481,820.767006432145,601.705594706592,NA,860.775517257119
WAMR_112780_Ct_orie,783.274136662696,1474.17851857372,1604.76113482534,1580.03913039912,1450.20214081868,860.775517257119,NA
