,SAMAR_33571_Ct_taen,SAMAR_33727_Ct_taen,SAMAR_34743_Ct_taen,SAMAR_55603_Ct_taen,SAMAR_55863_Ct_taen,SAMAR_55882_Ct_taen
SAMAR_33571_Ct_taen,NA,256.650236019204,211.323945376958,657.230487387257,1531.56375312499,743.383328721281
SAMAR_33727_Ct_taen,256.650236019204,NA,358.570837044548,896.557844573192,1788.1774102646,996.118198548866
SAMAR_34743_Ct_taen,211.323945376958,358.570837044548,NA,565.043131206291,1514.36945013769,779.833126894305
SAMAR_55603_Ct_taen,657.230487387257,896.557844573192,565.043131206291,NA,982.602875103678,445.317081506007
SAMAR_55863_Ct_taen,1531.56375312499,1788.1774102646,1514.36945013769,982.602875103678,NA,812.074562238194
SAMAR_55882_Ct_taen,743.383328721281,996.118198548866,779.833126894305,445.317081506007,812.074562238194,NA
