,WAMR_099165_Ct_duri,WAMR_139394_Ct_duri,WAMR_157067_Ct_duri,WAMR_160095_Ct_duri,WAMR_161462_Ct_duri,WAMR_162334_Ct_duri,WAMR_170467_Ct_duri,WAMR_170880_Ct_duri
WAMR_099165_Ct_duri,NA,0.450617283950617,0.72992700729927,0.560810810810811,0.45,0.374233128834356,0.690647482014388,0.593103448275862
WAMR_139394_Ct_duri,0.450617283950617,NA,0.759398496240602,0.594771241830065,0.624242424242424,0.457831325301205,0.828571428571429,0.409395973154362
WAMR_157067_Ct_duri,0.72992700729927,0.759398496240602,NA,0.7421875,0.8671875,0.6,0.440677966101695,0.703125
WAMR_160095_Ct_duri,0.560810810810811,0.594771241830065,0.7421875,NA,0.557692307692308,0.382165605095541,0.805970149253731,0.567567567567568
WAMR_161462_Ct_duri,0.45,0.624242424242424,0.8671875,0.557692307692308,NA,0.452830188679245,0.852941176470588,0.536912751677852
WAMR_162334_Ct_duri,0.374233128834356,0.457831325301205,0.6,0.382165605095541,0.452830188679245,NA,0.631944444444444,0.341772151898734
WAMR_170467_Ct_duri,0.690647482014388,0.828571428571429,0.440677966101695,0.805970149253731,0.852941176470588,0.631944444444444,NA,0.674074074074074
WAMR_170880_Ct_duri,0.593103448275862,0.409395973154362,0.703125,0.567567567567568,0.536912751677852,0.341772151898734,0.674074074074074,NA
