,CUMV_14700_Ct_scho,NA_ABTC113798_Ct_scho,NA_ABTC12623_Ct_scho,SAMAR_24578_Ct_scho,SAMAR_25378_Ct_scho,SAMAR_26265_Ct_scho,SAMAR_32255_Ct_scho,SAMAR_35050_Ct_scho,SAMAR_37073_Ct_scho,SAMAR_41321_Ct_scho,SAMAR_41903_Ct_scho,SAMAR_45530_Ct_scho,SAMAR_46104_Ct_scho,SAMAR_46452_Ct_scho,SAMAR_48325_Ct_scho,SAMAR_48354_Ct_scho,SAMAR_49141_Ct_scho,SAMAR_50062_Ct_scho,SAMAR_59192_Ct_scho,SAMAR_60340_Ct_scho,SAMAR_62561_Ct_scho,SAMR_62121_Ct_scho,SAMR_65381_Ct_scho,UMMZ_242648_Ct_scho,WAMR_077870_Ct_scho,WAMR_100527_Ct_scho,WAMR_102261_Ct_scho,WAMR_151241_Ct_scho,WAMR_151655_Ct_scho
CUMV_14700_Ct_scho,NA,756.791252592153,106.780147967682,154.961285487699,1884.51611826485,3212.06382252906,1346.99146248222,142.228689089086,1850.64745427107,1040.57580214033,218.808135132129,2185.97438228356,217.069113417824,165.825209181234,602.6566186478,110.661646472479,2141.30590995308,234.78926721637,1975.80616458194,1471.04724601217,921.279002257188,133.210359957475,749.365731802569,2269.23467274762,2848.12341726969,500.619616075918,947.710398803348,2355.61096108844,1612.2906065595
NA_ABTC113798_Ct_scho,756.791252592153,NA,667.982784209294,909.81866325109,1163.30477519866,2478.52556976925,645.012402981524,896.828857698056,1119.09829773796,345.645772431835,543.369119475886,1455.91174183053,548.966301333698,656.806668662857,239.724842267129,671.826614536816,1406.36766174425,990.499369005352,1234.04497486923,765.43386389681,295.858074082828,624.342854527863,16.4924225024706,1542.42503869718,2114.98226942923,280.347998031019,237.398399320636,1620.65480593493,857.991841453053
NA_ABTC12623_Ct_scho,106.780147967682,667.982784209294,NA,254.905864977642,1810.07928003168,3135.40204758497,1274.53285559847,244.795833297873,1772.95516017749,965.487441658357,152.574571931236,2109.59948805455,122.176102409596,178.913386866383,533.703100984058,119.415241908225,2063.03974755699,328.764353298833,1894.91899563016,1398.7058304018,852.909725586477,71.9513724677994,661.83457147538,2194.36870192773,2771.37637285158,425.673583864444,869.88562466568,2277.69949729985,1523.47858534342
SAMAR_24578_Ct_scho,154.961285487699,909.81866325109,254.905864977642,NA,2031.51618255922,3359.630187982,1493.61139524309,27.2763633939717,1999.56320230194,1189.36159346096,371.319269631944,2333.79155024608,371.233080422529,287.529128959137,750.403891247907,249.997999992,2290.31220579204,84.9176071259665,2126.13193381784,1617.36977837475,1066.77926489035,287.628232272147,902.136353330249,2415.72452899746,2995.85380150634,651.434570774379,1096.41871563742,2504.2579739316,1765.59168552641
SAMAR_25378_Ct_scho,1884.51611826485,1163.30477519866,1810.07928003168,2031.51618255922,NA,1328.68017220097,538.498839367366,2015.28707632436,90.1165911472466,845.455498533187,1667.30501108825,305.743356428231,1691.77717208857,1749.85799423839,1283.0596244914,1783.64822765028,274.907257088641,2115.27232289367,190.044731576542,415.173457725804,966.195632364378,1754.60023937078,1164.97467783639,391.237779361861,965.280270180635,1385.5536799417,947.243368939577,479.330783488814,458.833303063324
SAMAR_26265_Ct_scho,3212.06382252906,2478.52556976925,3135.40204758497,3359.630187982,1328.68017220097,NA,1867.14595037453,3343.65533510857,1363.11188095475,2172.37243584059,2994.50446651863,1026.26994499498,3016.27236833811,3078.41550152022,2611.18344817058,3112.0028920295,1073.69595323816,3443.38118714731,1247.35079268023,1743.73449813898,2294.86971307741,3081.52575845149,2481.87529904304,946.671009379711,364.034339039602,2712.34179262128,2269.31421358965,858.604099687394,1657.81030277894
SAMAR_32255_Ct_scho,1346.99146248222,645.012402981524,1274.53285559847,1493.61139524309,538.498839367366,1867.14595037453,NA,1477.10900071728,512.90739904977,310.979098976121,1130.14291131697,842.502225516348,1157.17889714599,1211.69798217213,745.089927458424,1245.42924327318,802.227523835975,1577.29642109529,651.335551002707,124.265844060224,427.751095848976,1217.65060670128,644.143617526402,926.362779908606,1503.63725678769,849.125432430333,423.31666633857,1014.31799747416,429.703386069973
SAMAR_35050_Ct_scho,142.228689089086,896.828857698056,244.795833297873,27.2763633939717,2015.28707632436,3343.65533510857,1477.10900071728,NA,1983.6625217007,1173.08695329886,356.120766033097,2317.90746148331,358.867663631038,269.534784397116,733.652506299815,232.325203109779,2274.47268614068,101.916632597432,2110.75744698438,1600.85883200237,1049.9057100521,273.740753268489,888.962316411669,2400.13437123841,2979.89999832209,635.841961496723,1082.29663216699,2488.4139527016,1751.73685238394
SAMAR_37073_Ct_scho,1850.64745427107,1119.09829773796,1772.95516017749,1999.56320230194,90.1165911472466,1363.11188095475,512.90739904977,1983.6625217007,NA,810.943894483459,1632.56515949594,338.921819893615,1653.48087379322,1720.52840720518,1250.58506308048,1751.69574983785,290.914076661821,2083.03000458467,150.153255042973,394.618803403994,938.110334662187,1719.54906879682,1121.84713753702,434.476696728375,999.215192038232,1350.32884883646,910.715652660039,505.370161366894,376.267192298239
SAMAR_41321_Ct_scho,1040.57580214033,345.645772431835,965.487441658357,1189.36159346096,845.455498533187,2172.37243584059,310.979098976121,1173.08695329886,810.943894483459,NA,822.623243046293,1146.48419090714,847.236094604096,910.959933257221,439.737421650694,940.953771446823,1101.78173882126,1272.63977621321,940.109568082359,434.844799899918,141.467310711698,910.003846145718,342.728755723823,1232.51774835091,1808.44325318767,540.730986720754,146.023970634961,1315.98138284704,622.089221896667
