,CUMV_14357_Ct_dux,CUMV_14361_Ct_dux,CUMV_14362_Ct_dux,CUMV_14366_Ct_dux,CUMV_14367_Ct_dux,CUMV_14370_Ct_dux,CUMV_14373_Ct_dux,CUMV_14374_Ct_dux,QMJ_62380_Ct_dux,SAMAR_29946_Ct_dux,SAMAR_48573_Ct_dux,SAMAR_57212_Ct_dux,SAMR_36098_Ct_dux,SAMR_42034_Ct_dux,SAMR_45608_Ct_dux,SAMR_46165_Ct_dux,SAMR_56476_Ct_dux,SAMR_62379_Ct_dux,WAMR_166441_Ct_dux
CUMV_14357_Ct_dux,NA,0.0253164556962025,0.0135135135135135,0.977611940298508,1.14782608695652,0.975806451612903,0.721804511278195,0.801801801801802,0.928571428571428,0.883333333333333,1.07619047619048,1.26548672566372,0.928571428571428,1.26548672566372,0.966101694915254,0.974358974358974,0.879310344827586,1.58333333333333,1.10377358490566
CUMV_14361_Ct_dux,0.0253164556962025,NA,0.0447761194029851,1.20740740740741,1.17142857142857,1.1484375,0.805755395683453,1.11214953271028,1.15596330275229,1.07627118644068,1.38317757009346,1.37692307692308,1.17543859649123,1.3135593220339,1.25217391304348,1.01639344262295,1,1.47899159663866,1.47959183673469
CUMV_14362_Ct_dux,0.0135135135135135,0.0447761194029851,NA,1.2015503875969,1.36036036036036,1.19827586206897,0.833333333333333,1.0990099009901,1.21359223300971,1.11711711711712,1.3921568627451,1.50943396226415,1.21296296296296,1.42727272727273,1.1140350877193,1.10344827586207,1.15315315315315,1.73684210526316,1.42105263157895
CUMV_14366_Ct_dux,0.977611940298508,1.20740740740741,1.2015503875969,NA,0.291208791208791,0.369230769230769,0.203883495145631,0.267441860465116,0.313253012048193,0.340659340659341,0.415204678362573,0.385474860335195,0.357142857142857,0.327956989247312,0.415730337078652,0.227979274611399,0.342857142857143,0.481707317073171,0.35625
CUMV_14367_Ct_dux,1.14782608695652,1.17142857142857,1.36036036036036,0.291208791208791,NA,0.457627118644068,0.240837696335079,0.484076433121019,0.33112582781457,0.36969696969697,0.45,0.325,0.411042944785276,0.351190476190476,0.379518072289157,0.329545454545455,0.384146341463415,0.458100558659218,0.438356164383562
CUMV_14370_Ct_dux,0.975806451612903,1.1484375,1.19827586206897,0.369230769230769,0.457627118644068,NA,0.133004926108374,0.307692307692308,0.360248447204969,0.38150289017341,0.496969696969697,0.450549450549451,0.283236994219653,0.427777777777778,0.363636363636364,0.383783783783784,0.276470588235294,0.5,0.357142857142857
CUMV_14373_Ct_dux,0.721804511278195,0.805755395683453,0.833333333333333,0.203883495145631,0.240837696335079,0.133004926108374,NA,0.137142857142857,0.25,0.227513227513228,0.290502793296089,0.284210526315789,0.197860962566845,0.274611398963731,0.238095238095238,0.226130653266332,0.207650273224044,0.471337579617834,0.292682926829268
CUMV_14374_Ct_dux,0.801801801801802,1.11214953271028,1.0990099009901,0.267441860465116,0.484076433121019,0.307692307692308,0.137142857142857,NA,0.420689655172414,0.307692307692308,0.443708609271523,0.385093167701863,0.343949044585987,0.354037267080745,0.375,0.303030303030303,0.288461538461538,0.45945945945946,0.410071942446043
QMJ_62380_Ct_dux,0.928571428571428,1.15596330275229,1.21359223300971,0.313253012048193,0.33112582781457,0.360248447204969,0.25,0.420689655172414,NA,0.372413793103448,0.415492957746479,0.452702702702703,0.368421052631579,0.339869281045752,0.394557823129252,0.265432098765432,0.28476821192053,0.422222222222222,0.414285714285714
SAMAR_29946_Ct_dux,0.883333333333333,1.07627118644068,1.11711711711712,0.340659340659341,0.36969696969697,0.38150289017341,0.227513227513228,0.307692307692308,0.372413793103448,NA,0.36241610738255,0.304878048780488,0.208588957055215,0.218181818181818,0.377358490566038,0.146892655367232,0.2,0.409722222222222,0.278571428571429
SAMAR_48573_Ct_dux,1.07619047619048,1.38317757009346,1.3921568627451,0.415204678362573,0.45,0.496969696969697,0.290502793296089,0.443708609271523,0.415492957746479,0.36241610738255,NA,0.371069182389937,0.274509803921569,0.288461538461538,0.240506329113924,0.217647058823529,0.262820512820513,0.449275362318841,0.431818181818182
SAMAR_57212_Ct_dux,1.26548672566372,1.37692307692308,1.50943396226415,0.385474860335195,0.325,0.450549450549451,0.284210526315789,0.385093167701863,0.452702702702703,0.304878048780488,0.371069182389937,NA,0.313253012048193,0.307692307692308,0.260869565217391,0.267441860465116,0.211180124223602,0.408045977011494,0.626760563380282
SAMR_36098_Ct_dux,0.928571428571428,1.17543859649123,1.21296296296296,0.357142857142857,0.411042944785276,0.283236994219653,0.197860962566845,0.343949044585987,0.368421052631579,0.208588957055215,0.274509803921569,0.313253012048193,NA,0.234939759036145,0.251533742331288,0.171428571428571,0.170731707317073,0.531914893617021,0.269503546099291
SAMR_42034_Ct_dux,1.26548672566372,1.3135593220339,1.42727272727273,0.327956989247312,0.351190476190476,0.427777777777778,0.274611398963731,0.354037267080745,0.339869281045752,0.218181818181818,0.288461538461538,0.307692307692308,0.234939759036145,NA,0.242603550295858,0.202247191011236,0.246987951807229,0.4,0.361111111111111
SAMR_45608_Ct_dux,0.966101694915254,1.25217391304348,1.1140350877193,0.415730337078652,0.379518072289157,0.363636363636364,0.238095238095238,0.375,0.394557823129252,0.377358490566038,0.240506329113924,0.260869565217391,0.251533742331288,0.242603550295858,NA,0.248554913294798,0.220858895705521,0.436241610738255,0.5
SAMR_46165_Ct_dux,0.974358974358974,1.01639344262295,1.10344827586207,0.227979274611399,0.329545454545455,0.383783783783784,0.226130653266332,0.303030303030303,0.265432098765432,0.146892655367232,0.217647058823529,0.267441860465116,0.171428571428571,0.202247191011236,0.248554913294798,NA,0.232558139534884,0.353333333333333,0.426666666666667
SAMR_56476_Ct_dux,0.879310344827586,1,1.15315315315315,0.342857142857143,0.384146341463415,0.276470588235294,0.207650273224044,0.288461538461538,0.28476821192053,0.2,0.262820512820513,0.211180124223602,0.170731707317073,0.246987951807229,0.220858895705521,0.232558139534884,NA,0.35374149659864,0.308219178082192
SAMR_62379_Ct_dux,1.58333333333333,1.47899159663866,1.73684210526316,0.481707317073171,0.458100558659218,0.5,0.471337579617834,0.45945945945946,0.422222222222222,0.409722222222222,0.449275362318841,0.408045977011494,0.531914893617021,0.4,0.436241610738255,0.353333333333333,0.35374149659864,NA,0.703125
WAMR_166441_Ct_dux,1.10377358490566,1.47959183673469,1.42105263157895,0.35625,0.438356164383562,0.357142857142857,0.292682926829268,0.410071942446043,0.414285714285714,0.278571428571429,0.431818181818182,0.626760563380282,0.269503546099291,0.361111111111111,0.5,0.426666666666667,0.308219178082192,0.703125,NA
