,CUMV_14812_Ct_aria,SAMAR_35025_Ct_aria,SAMAR_38117_Ct_aria,SAMAR_45960_Ct_aria
CUMV_14812_Ct_aria,NA,0.335526315789474,0.866141732283465,0.678082191780822
SAMAR_35025_Ct_aria,0.335526315789474,NA,0.104529616724739,0.284172661870504
SAMAR_38117_Ct_aria,0.866141732283465,0.104529616724739,NA,0.595419847328244
SAMAR_45960_Ct_aria,0.678082191780822,0.284172661870504,0.595419847328244,NA
