,CUMV_14847_Ct_quat,SAMR_43844_Ct_quat,SAMR_44403_Ct_quat,SAMR_48772_Ct_quat,SAMR_58939_Ct_quat,SAMR_62088_Ct_quat,UMMZ_242645_Ct_quat,UMMZ_242646_Ct_quat,WAMR_127432_Ct_quat,WAMR_139532_Ct_iape
CUMV_14847_Ct_quat,NA,396.029039339289,363.601430140202,169.271970509001,597.503138067073,501.81769598132,1360.26798830231,1360.32569629482,1264.99328061457,1285.41627498643
SAMR_43844_Ct_quat,396.029039339289,NA,746.742927653152,552.081515720278,203.049255108213,893.11813328361,977.327989980846,977.115653338948,879.390129578448,894.569170047795
SAMR_44403_Ct_quat,363.601430140202,746.742927653152,NA,197.050754883101,949.688369940372,157.654685943679,1687.49548147543,1688.07878963039,1598.50367531639,1631.42483737376
SAMR_48772_Ct_quat,169.271970509001,552.081515720278,197.050754883101,NA,755.105952830462,342.762308312918,1505.37636490015,1505.74798688227,1413.68631598385,1441.23349947189
SAMR_58939_Ct_quat,597.503138067073,203.049255108213,949.688369940372,755.105952830462,NA,1095.96304682229,792.8158676515,792.178010298191,691.191724487497,696.30094068585
SAMR_62088_Ct_quat,501.81769598132,893.11813328361,157.654685943679,342.762308312918,1095.96304682229,NA,1837.35951843944,1837.88057283383,1747.63297062055,1778.47069135255
UMMZ_242645_Ct_quat,1360.26798830231,977.327989980846,1687.49548147543,1505.37636490015,792.8158676515,1837.35951843944,NA,5.19615242270663,110.963958112533,216.027775991885
UMMZ_242646_Ct_quat,1360.32569629482,977.115653338948,1688.07878963039,1505.74798688227,792.178010298191,1837.88057283383,5.19615242270663,NA,108.544921576276,211.520684567727
WAMR_127432_Ct_quat,1264.99328061457,879.390129578448,1598.50367531639,1413.68631598385,691.191724487497,1747.63297062055,110.963958112533,108.544921576276,NA,143.272467697042
WAMR_139532_Ct_iape,1285.41627498643,894.569170047795,1631.42483737376,1441.23349947189,696.30094068585,1778.47069135255,216.027775991885,211.520684567727,143.272467697042,NA
