,NA_CCM1971_Ct_vert,NA_CCM2315_Ct_vert,NA_CCM2343_Ct_vert,NA_CCM2519_Ct_vert,NA_CCM2549_Ct_vert,NA_CCM3915_Ct_vert,NA_CCM5466_Ct_vert,NTMR_16195_Ct_vert
NA_CCM1971_Ct_vert,NA,188.411783071017,374.503671544085,260.126892112292,358.196873241518,513.797625529741,126.388290596875,827.748150103641
NA_CCM2315_Ct_vert,188.411783071017,NA,311.23624467597,145.35129858381,183.777038826944,326.498085752428,244.685512444035,648.760356372058
NA_CCM2343_Ct_vert,374.503671544085,311.23624467597,NA,169.070991006737,426.874688872507,407.817361082139,492.326111434281,593.418907686636
NA_CCM2519_Ct_vert,260.126892112292,145.35129858381,169.070991006737,NA,268.065290554372,312.32355018474,358.429909466272,584.514328310265
NA_CCM2549_Ct_vert,358.196873241518,183.777038826944,426.874688872507,268.065290554372,NA,212.591156918626,369.576784985204,552.447282552824
NA_CCM3915_Ct_vert,513.797625529741,326.498085752428,407.817361082139,312.32355018474,212.591156918626,NA,558.968693219933,340.418859642059
NA_CCM5466_Ct_vert,126.388290596875,244.685512444035,492.326111434281,358.429909466272,369.576784985204,558.968693219933,NA,890.436409857548
NTMR_16195_Ct_vert,827.748150103641,648.760356372058,593.418907686636,584.514328310265,552.447282552824,340.418859642059,890.436409857548,NA
