,NA_ABTC113879_Ct_stra,NA_ABTC113898_Ct_stra,SAMAR_34780_Ct_stra,SAMAR_36883_Ct_stra,SAMAR_37916_Ct_stra,SAMAR_41349_Ct_stra,SAMAR_42343_Ct_stra,SAMAR_42743_Ct_stra,SAMAR_42800_Ct_stra,SAMAR_42874_Ct_stra,SAMAR_42955_Ct_stra,SAMAR_45516_Ct_stra,SAMAR_48386_Ct_stra,SAMAR_50902_Ct_stra,SAMR_42487_Ct_stra,SAMR_42881_Ct_stra,SAMR_44903_Ct_stra,SAMR_44955_Ct_stra,SAMR_45029_Ct_stra,SAMR_46857_Ct_stra,SAMR_55734_Ct_stra
NA_ABTC113879_Ct_stra,NA,307.12176461145,1007.73682026203,406.140624242802,849.434606926629,1116.50361019281,819.129736423396,267.437860570989,242.822356201041,11.3132113495984,314.220643866379,779.141378641861,978.535949086945,585.126267719557,857.436440239235,11.3214744975681,725.152833244199,719.015656926891,392.155911887412,931.310645807248,397.535304351257
NA_ABTC113898_Ct_stra,307.12176461145,NA,721.241712310617,109.554477396978,597.033505841506,810.026798852983,524.29316903934,572.096842421246,378.330715244642,307.671178467913,215.253208437035,478.712522616721,794.103518763476,419.178982644705,697.610913587823,307.636032252252,466.845289670539,434.594426201785,220.780720789651,803.78163115794,665.264455151934
SAMAR_34780_Ct_stra,1007.73682026203,721.241712310617,NA,663.665377240295,232.477790384242,288.917994803178,203.2838225372,1273.55199576151,945.403035629768,1011.56172789963,728.243252590726,472.780265005753,476.598974806756,543.167258131408,527.951311192607,1011.53093786437,305.071860903189,288.93562285903,641.170385540726,646.582751532397,1270.57872447052
SAMAR_36883_Ct_stra,406.140624242802,109.554477396978,663.665377240295,NA,572.29410903361,721.501928651182,461.262956100967,665.410728461838,486.477881381252,405.137068060393,305.471753378481,373.394505619648,803.228980828402,456.555292026775,721.509589343343,405.100778583096,443.872367820628,388.264754335967,284.732649246823,837.816945660796,774.039377532944
SAMAR_37916_Ct_stra,849.434606926629,597.033505841506,232.477790384242,572.29410903361,NA,499.931615562748,224.88910663909,1107.19550413557,748.573264871579,855.156539130158,546.350463179144,528.941930197597,301.279191064464,322.831266851013,311.793491466676,855.129971380701,130.285114571606,201.905604803738,461.022940800058,440.424063348352,1068.2508684314
SAMAR_41349_Ct_stra,1116.50361019281,810.026798852983,288.917994803178,721.501928651182,499.931615562748,NA,338.708017795487,1382.10530479702,1112.82272913544,1117.52577930853,887.290020498539,393.647265078998,765.357184681751,768.736766131673,808.810332177575,1117.49094904896,522.929458067961,451.79578623418,805.766495673483,931.905423333673,1436.58788701424
SAMAR_42343_Ct_stra,819.129736423396,524.29316903934,203.2838225372,461.262956100967,224.88910663909,338.708017795487,NA,1086.40570636351,783.937938281523,822.065477393968,559.830031034968,310.677199806868,526.138436477961,432.674652033702,524.952148791634,822.033171751296,192.377480520406,113.79170746084,475.167914786551,657.222070271435,1109.83313697241
SAMAR_42743_Ct_stra,267.437860570989,572.096842421246,1273.55199576151,665.410728461838,1107.19550413557,1382.10530479702,1086.40570636351,NA,403.756018844932,265.245149274945,562.090316286145,1034.4842184884,1207.49093708936,822.69266386383,1078.88663143566,265.278961531479,986.05224010538,985.257612405155,646.236429412945,1133.58989049008,302.101677284648
SAMAR_42800_Ct_stra,242.822356201041,378.330715244642,945.403035629768,486.477881381252,748.573264871579,1112.82272913544,783.937938281523,403.756018844932,NA,254.127924539424,225.542469580072,837.764730510984,809.481667662876,438.469529007441,678.303327907407,254.134843164576,641.87780349693,671.836430069035,308.771978461492,729.871804713617,326.206403764462
SAMAR_42874_Ct_stra,11.3132113495984,307.671178467913,1011.56172789963,405.137068060393,855.156539130158,1117.52577930853,822.065477393968,265.245149274945,254.127924539424,NA,321.938088363885,777.719316661123,986.877865346686,593.20655901647,866.277376776954,0.0367046808337754,730.392168281901,722.723680326098,398.892876406142,940.955061382419,404.457297881478
SAMAR_42955_Ct_stra,314.220643866379,215.253208437035,728.243252590726,305.471753378481,546.350463179144,887.290020498539,559.830031034968,562.090316286145,225.542469580072,321.938088363885,NA,624.570791806597,666.085097948404,271.79095008231,549.139048321057,321.917923397611,429.543034443094,448.821324760958,87.1598040816589,635.240866466,550.3024094477
SAMAR_45516_Ct_stra,779.141378641861,478.712522616721,472.780265005753,373.394505619648,528.941930197597,393.647265078998,310.677199806868,1034.4842184884,837.764730510984,777.719316661123,624.570791806597,NA,827.642990971817,630.41866935298,804.548925987596,777.682820477796,452.17409335079,345.610854171411,563.346630389447,937.565558707846,1142.07301553378
SAMAR_48386_Ct_stra,978.535949086945,794.103518763476,476.598974806756,803.228980828402,301.279191064464,765.357184681751,526.138436477961,1207.49093708936,809.481667662876,986.877865346686,666.085097948404,827.642990971817,NA,394.372394520383,135.930211030595,986.859873800964,387.394651298684,487.689227678879,599.107883086332,188.621919568953,1091.18747794325
SAMAR_50902_Ct_stra,585.126267719557,419.178982644705,543.167258131408,456.555292026775,322.831266851013,768.736766131673,432.674652033702,822.69266386383,438.469529007441,593.20655901647,271.79095008231,630.41866935298,394.372394520383,NA,282.074135428101,593.187591246725,246.988273171193,325.500565944353,208.010383551221,384.859533195235,749.98965753509
SAMR_42487_Ct_stra,857.436440239235,697.610913587823,527.951311192607,721.509589343343,311.793491466676,808.810332177575,524.952148791634,1078.88663143566,678.303327907407,866.277376776954,549.139048321057,804.548925987596,135.930211030595,282.074135428101,NA,866.261603205764,352.411800472613,459.142812000034,490.07744022473,133.297654783921,955.599567405038
SAMR_42881_Ct_stra,11.3214744975681,307.636032252252,1011.53093786437,405.100778583096,855.129971380701,1117.49094904896,822.033171751296,265.278961531479,254.134843164576,0.0367046808337754,321.917923397611,777.682820477796,986.859873800964,593.187591246725,866.261603205764,NA,730.364425468064,722.69271557888,398.869344168282,940.943465649191,404.490443972681
SAMR_44903_Ct_stra,725.152833244199,466.845289670539,305.071860903189,443.872367820628,130.285114571606,522.929458067961,192.377480520406,986.05224010538,641.87780349693,730.392168281901,429.543034443094,452.17409335079,387.394651298684,246.988273171193,352.411800472613,730.364425468064,NA,106.788676770605,342.644569234904,485.539850716419,966.20964101369
SAMR_44955_Ct_stra,719.015656926891,434.594426201785,288.93562285903,388.264754335967,201.905604803738,451.79578623418,113.79170746084,985.257612405155,671.836430069035,722.723680326098,448.821324760958,345.610854171411,487.689227678879,325.500565944353,459.142812000034,722.69271557888,106.788676770605,NA,363.231572798042,592.30876224786,997.974394896993
