,CUMV_14576_Ct_pant,WAMR_129863_Ct_pant,WAMR_153984_Ct_pant
CUMV_14576_Ct_pant,NA,1.12083656080558,1.2183908045977
WAMR_129863_Ct_pant,1.12083656080558,NA,0.358910891089109
WAMR_153984_Ct_pant,1.2183908045977,0.358910891089109,NA
