,CUMV_14700_Ct_scho,NA_ABTC113798_Ct_scho,NA_ABTC12623_Ct_scho,SAMAR_24578_Ct_scho,SAMAR_25378_Ct_scho,SAMAR_26265_Ct_scho,SAMAR_32255_Ct_scho,SAMAR_35050_Ct_scho,SAMAR_37073_Ct_scho,SAMAR_41321_Ct_scho,SAMAR_41903_Ct_scho,SAMAR_45530_Ct_scho,SAMAR_46104_Ct_scho,SAMAR_46452_Ct_scho,SAMAR_48325_Ct_scho,SAMAR_48354_Ct_scho,SAMAR_49141_Ct_scho,SAMAR_50062_Ct_scho,SAMAR_59192_Ct_scho,SAMAR_60340_Ct_scho,SAMAR_62561_Ct_scho,SAMR_62121_Ct_scho,SAMR_65381_Ct_scho,UMMZ_242648_Ct_scho,WAMR_077870_Ct_scho,WAMR_100527_Ct_scho,WAMR_102261_Ct_scho,WAMR_151241_Ct_scho,WAMR_151655_Ct_scho
CUMV_14700_Ct_scho,NA,2398.39559207237,1277.46289903904,2083.59750944385,1273.35368184219,1028.96366212568,1061.12684811382,2099.56481100097,2043.0175747966,2114.6275248419,1318.41035692914,1418.76258613508,990.761441212333,1675.75792254437,2112.15033948967,2104.79606172729,1796.9911221082,1721.3242533635,1891.7478220553,960.805425472894,1397.28905459154,904.573989795747,2397.69598246407,536.027721374982,823.74233061685,284.605916789928,627.794396926327,613.742200695482,507.991199472778
NA_ABTC113798_Ct_scho,2398.39559207237,NA,1154.50737644611,406.448549331298,1323.57365751602,1617.31114744907,1423.13970910442,520.646681339278,1193.49575045001,1036.58343646773,1090.24936183224,1272.66929114621,1410.2840457002,866.388607139633,912.115590224777,743.95079833989,1177.09510641656,686.775736578799,1159.38133833342,1523.70275178222,1147.12910679092,1500.8749279725,1.0517930574462,2916.92589202961,1880.26472302903,2295.4449199971,2790.08404682496,2338.09614677877,2757.24745664464
NA_ABTC12623_Ct_scho,1277.46289903904,1154.50737644611,NA,921.537258700457,708.756981162399,841.755355023199,580.732796203398,1001.00187367505,1326.70170049059,1293.34369647798,317.820867259484,815.655240965702,309.180728573592,704.179598645233,1221.003744146,1122.42490402147,1104.72396967005,546.76498391286,1176.88036703174,628.443050219855,631.195197869377,378.45902405608,1153.68044261842,1776.67786283527,1009.85128429222,1233.91928890168,1635.89283484947,1381.35286925337,1698.6690503888
SAMAR_24578_Ct_scho,2083.59750944385,406.448549331298,921.537258700457,NA,933.873449908353,1232.38730241654,1060.8168746886,158.500302160324,833.443715187487,694.560243759911,767.02781730384,870.939498101576,1120.55659937558,468.686216416532,571.165680374273,399.577682491853,780.894923234815,379.101676288438,774.103414129952,1164.25989445847,759.980377124407,1215.40267430943,406.348930725272,2613.83170254469,1500.29731833844,1951.79331451347,2531.45475778191,1963.9085360729,2405.31255060395
SAMAR_25378_Ct_scho,1273.35368184219,1323.57365751602,708.756981162399,933.873449908353,NA,300.402644369415,240.035776141555,894.518630729215,794.702014231784,845.008011297051,414.525869259972,156.561467996288,585.809480851548,466.900498717105,839.002433011748,845.503573245971,542.32324957807,678.523611562746,636.072273261074,321.709302101848,176.803459483542,649.893134651704,1323.2259382584,1806.42100425415,571.307276690878,1080.28810590641,1829.75019371008,1037.80500890223,1506.66750575835
SAMAR_26265_Ct_scho,1028.96366212568,1617.31114744907,841.755355023199,1232.38730241654,300.402644369415,NA,262.03685424752,1194.74144345018,1014.93883339372,1096.38698314875,617.393853773859,411.588312403075,611.828114617317,766.87934850679,1109.6454207056,1134.94531096356,772.193300776045,954.715811797563,866.337263185428,230.547690260504,472.448920932052,635.227016617704,1616.92062104785,1551.2871430914,271.334383610712,807.419666368104,1620.65930401179,737.894914629843,1215.18547938138
SAMAR_32255_Ct_scho,1061.12684811382,1423.13970910442,580.732796203398,1060.8168746886,240.035776141555,262.03685424752,NA,1052.33645363896,1033.37304010473,1075.50460118599,368.269299161672,396.52505653028,378.412320530573,620.928425542051,1058.66030156456,1043.67420862546,781.004890291898,741.294426666133,874.080223584627,104.136395694144,336.16921033763,426.359249023603,1422.63773682273,1597.01522667684,474.340703590748,895.77101294453,1598.11469177659,917.072827376087,1344.64485151963
SAMAR_35050_Ct_scho,2099.56481100097,520.646681339278,1001.00187367505,158.500302160324,894.518630729215,1194.74144345018,1052.33645363896,NA,684.103970395876,539.383748671373,801.518046903402,807.977037431441,1165.11447718747,433.252939058717,415.00475929773,242.482016826065,657.944561525829,456.593768098658,638.993565372714,1156.43103234078,729.675073611513,1260.2930519991,520.79820845388,2633.94648983591,1465.82425487108,1948.07991146531,2576.59806162892,1932.30657459389,2392.06517972265
SAMAR_37073_Ct_scho,2043.0175747966,1193.49575045001,1326.70170049059,833.443715187487,794.702014231784,1014.93883339372,1033.37304010473,684.103970395876,NA,169.392121562917,1019.92116328243,638.804119142776,1332.42456774455,639.393899977413,284.95351201974,449.570290262909,252.408622118734,924.773986643693,160.137191039044,1114.98621719832,742.049393818654,1413.00192539868,1193.80790334807,2565.79167314536,1252.60706569724,1818.02531545431,2619.97626758063,1682.62572160775,2192.12551637055
SAMAR_41321_Ct_scho,2114.6275248419,1036.58343646773,1293.34369647798,694.560243759911,845.008011297051,1096.38698314875,1075.50460118599,539.383748671373,169.392121562917,NA,1001.96209591439,695.92628800804,1338.67649595046,589.602900364226,125.242557790125,297.7429202889,329.322925120398,841.017273300136,242.087387701511,1165.83821925973,757.897656377147,1424.91232460998,1036.95301886496,2644.13979641044,1348.42154851205,1903.80429223866,2673.2463205152,1793.00716602579,2296.46455751641
SAMAR_41903_Ct_scho,1318.41035692914,1090.24936183224,317.820867259484,767.02781730384,414.525869259972,617.393853773859,368.269299161672,801.518046903402,1019.92116328243,1001.96209591439,NA,502.949225403762,365.034144656398,426.213922822149,943.286803526626,870.187644218521,790.735259185362,404.992392878651,866.501632771191,455.260918993998,314.27681031373,459.801581986513,1089.63413682884,1847.0396205604,842.058782743639,1205.36884226251,1775.08004636364,1273.75375774575,1668.48374386284
SAMAR_45530_Ct_scho,1418.76258613508,1272.66929114621,815.655240965702,870.939498101576,156.561467996288,411.588312403075,396.52505653028,807.977037431441,638.804119142776,695.92628800804,502.949225403762,NA,729.8398276235,407.188613650048,699.72466170413,725.497923901544,386.621893210634,675.196064283512,480.843832898833,476.289143151578,194.825463006895,799.289181792254,1272.43772743145,1949.2406520028,678.320450006801,1214.16668444354,1983.16431284838,1141.41312075909,1626.49210350425
SAMAR_46104_Ct_scho,990.761441212333,1410.2840457002,309.180728573592,1120.55659937558,585.809480851548,611.828114617317,378.412320530573,1165.11447718747,1332.42456774455,1338.67649595046,365.034144656398,729.8398276235,NA,784.291105927117,1292.5122492224,1231.35840403743,1087.1178895969,745.410661133692,1173.2785126257,381.637421916146,590.411144002422,95.2444789414416,1409.55372438195,1506.86271410745,729.752219127878,927.224614567565,1412.63944092059,1075.34369374351,1393.23016252111
SAMAR_46452_Ct_scho,1675.75792254437,866.388607139633,704.179598645233,468.686216416532,466.900498717105,766.87934850679,620.928425542051,433.252939058717,639.393899977413,589.602900364226,426.213922822149,407.188613650048,784.291105927117,NA,519.593326640839,447.546588932675,457.276993003729,313.945025246328,505.335790742809,724.784761436487,297.151807137622,876.76109977721,866.130640579434,2211.47868302714,1036.79044332586,1516.03241969287,2177.43032021456,1502.51598564553,1958.81350183096
SAMAR_48325_Ct_scho,2112.15033948967,912.115590224777,1221.003744146,571.165680374273,839.002433011748,1109.6454207056,1058.66030156456,415.00475929773,284.95351201974,125.242557790125,943.286803526626,699.72466170413,1292.5122492224,519.593326640839,NA,172.799358553616,374.657748945011,742.517575340709,306.538482359125,1154.23792317138,728.865350453608,1381.92962636293,912.471061940427,2645.39969091383,1370.59743262597,1913.8597011083,2654.54587172882,1824.94622167952,2321.00023845688
SAMAR_48354_Ct_scho,2104.79606172729,743.95079833989,1122.42490402147,399.577682491853,845.503573245971,1134.94531096356,1043.67420862546,242.482016826065,449.570290262909,297.7429202889,870.187644218521,725.497923901544,1231.35840403743,447.546588932675,172.799358553616,NA,474.839792719804,610.797255349386,432.165235454239,1144.55997377164,707.507311883567,1324.17105620086,744.258099541019,2640.62857383351,1403.62392178053,1925.0730708661,2622.16759297033,1866.68671987906,2349.68060744104
SAMAR_49141_Ct_scho,1796.9911221082,1177.09510641656,1104.72396967005,780.894923234815,542.32324957807,772.193300776045,781.004890291898,657.944561525829,252.408622118734,329.322925120398,790.735259185362,386.621893210634,1087.1178895969,457.276993003729,374.657748945011,474.839792719804,NA,767.591359175256,94.8862347248853,862.906594092291,497.808786086222,1165.38836702101,1177.18672205952,2323.04230783146,1020.01623432838,1578.8993696979,2369.01535686468,1463.82995221493,1967.27592891628
