,NA_ABTC61569_Ct_robu,NA_CCM2497_Ct_spal,NA_CCM5477_Ct_vert,NTMR_21670_Ct_spal,NTMR_22298_Ct_spal,NTMR_22299_Ct_spal,NTMR_22325_Ct_spal,NTMR_22621_Ct_spal,NTMR_22622_Ct_spal,SAMAR_34202_Ct_spal,SAMAR_51093_Ct_spal,SAMAR_54485_Ct_spal,SAMAR_55675_Ct_spal,SAMR_21493_Ct_robu,SAMR_28536_Ct_robu,SAMR_32932_Ct_robu,SAMR_33525_Ct_robu,SAMR_33695_Ct_robu,SAMR_33876_Ct_robu,SAMR_36313_Ct_robu,SAMR_39480_Ct_robu,SAMR_40718_Ct_robu,SAMR_46204_Ct_robu,SAMR_48684_Ct_robu,SAMR_48962_Ct_robu,SAMR_49609_Ct_robu,SAMR_50372_Ct_robu,SAMR_52303_Ct_robu,SAMR_55725_Ct_spal
NA_ABTC61569_Ct_robu,NA,2894.66284496177,2893.1909542928,2706.19787251084,2553.2349639393,2549.2493237169,2490.25376580616,2573.27572071708,2573.27572071708,2203.33766824981,2517.6656258582,1469.41586566354,1460.47225270945,1295.67806118131,1498.05289768794,1212.86699464005,627.204204834048,340.208235625224,532.694082798338,1348.37760532262,1239.88031729937,1438.18375670276,1616.67363503604,1600.3898947894,1449.63200435069,1243.28355603996,1354.34939725506,1284.99457638111,1536.66745065692
NA_CCM2497_Ct_spal,2894.66284496177,NA,46.9060253134198,207.852284052217,356.988187305397,359.61890531599,413.272149476199,340.209788814538,340.209788814538,722.931125501646,436.163904009152,1542.723591504,1546.09145235455,2508.87840517867,2112.70500575812,2745.25434508604,2561.57213981302,2756.40707486303,2597.08300416757,2214.29156141869,2464.16073837623,2208.05511802933,1803.04470798697,2019.49608732895,1950.60632214865,2743.28577906328,1963.30787503153,1994.63457828372,1465.71431087716
NA_CCM5477_Ct_vert,2893.1909542928,46.9060253134198,NA,191.696473377875,370.944719866975,372.955783294037,423.021958731053,355.893036520811,355.893036520811,734.637122536461,414.467126205573,1554.50043556151,1557.52248791154,2486.06692612344,2087.58073488424,2723.76084808817,2550.7871849676,2760.28674952322,2603.43807176959,2191.5578650444,2442.39768074085,2183.60407472826,1777.8405093878,1992.8488339928,1927.85018868615,2721.31120621812,1942.7567744384,1975.43961534432,1477.60633188861
NTMR_21670_Ct_spal,2706.19787251084,207.852284052217,191.696473377875,NA,238.981342354326,238.449323919611,271.237472412955,232.729150348998,232.729150348998,576.41899376967,229.259842695355,1389.97953748532,1392.20948222607,2301.37670501826,1906.35424823161,2537.4625247728,2359.11503689011,2579.61077020272,2426.64654905909,2006.78488808792,2256.41436861017,2001.28120969771,1596.82312884375,1814.35942410074,1743.12866984972,2535.56886928766,1755.45750154041,1786.87216886406,1313.61732170505
NTMR_22298_Ct_spal,2553.2349639393,356.988187305397,370.944719866975,238.981342354326,NA,5.54871145832505,65.2025523268312,21.0882935012778,21.0882935012778,366.069326205859,306.316679467326,1185.73549718949,1189.11894865638,2261.65257744435,1884.98723019478,2488.15088300261,2250.72928971799,2404.94804023124,2242.69253874333,1968.92329891919,2210.49229139521,1974.51037055459,1580.02617961648,1804.31302895864,1708.17394517197,2489.19837731321,1706.39916568995,1729.14109471008,1108.7264230341
NTMR_22299_Ct_spal,2549.2493237169,359.61890531599,372.955783294037,238.449323919611,5.54871145832505,NA,60.4209729244389,26.1940913292368,26.1940913292368,363.322293668932,301.847736104841,1183.14417803502,1186.47935574286,2256.24394154003,1879.48987980428,2482.80521493913,2245.95354751186,2401.48323765888,2239.48808076478,1963.49559982405,2205.11691264076,1969.03434524174,1574.50765321043,1798.78454870144,1702.72243086124,2483.83427649032,1701.02061399619,1723.81955457823,1106.14716666378
NTMR_22325_Ct_spal,2490.25376580616,413.272149476199,423.021958731053,271.237472412955,65.2025523268312,60.4209729244389,NA,86.2630223208555,86.2630223208555,311.799523880551,285.248999160682,1131.48369917493,1134.50378995093,2199.15684424235,1824.44589851523,2424.84861337643,2185.54520411566,2344.65110749783,2183.98560264849,1906.7500394843,2147.54029041314,1913.34766444868,1520.33556799116,1745.10705483994,1646.46891886709,2426.10170416201,1643.50981102446,1665.61997851184,1054.60120687044
NTMR_22621_Ct_spal,2573.27572071708,340.209788814538,355.893036520811,232.729150348998,21.0882935012778,26.1940913292368,86.2630223208555,NA,0,383.71223165588,316.801184421156,1202.81623653137,1206.31962806876,2282.20888761326,1905.04861778338,2508.90145901444,2271.74638083756,2424.00293631663,2261.18922678286,1989.40305595739,2231.16113707342,1994.73182155624,1599.87455382709,1824.02196462817,1728.54100427733,2509.89986237202,1727.059141916,1749.94869420188,1125.7832541859
NTMR_22622_Ct_spal,2573.27572071708,340.209788814538,355.893036520811,232.729150348998,21.0882935012778,26.1940913292368,86.2630223208555,0,NA,383.71223165588,316.801184421156,1202.81623653137,1206.31962806876,2282.20888761326,1905.04861778338,2508.90145901444,2271.74638083756,2424.00293631663,2261.18922678286,1989.40305595739,2231.16113707342,1994.73182155624,1599.87455382709,1824.02196462817,1728.54100427733,2509.89986237202,1727.059141916,1749.94869420188,1125.7832541859
SAMAR_34202_Ct_spal,2203.33766824981,722.931125501646,734.637122536461,576.41899376967,366.069326205859,363.322293668932,311.799523880551,383.71223165588,383.71223165588,NA,501.136873973274,820.018639310529,823.237553414176,2029.30055023521,1684.65560591589,2240.61816771752,1939.71352766313,2043.7348716604,1878.46537573984,1744.5013360006,1971.12175627326,1764.66164092625,1395.84933182371,1621.90871504136,1494.40489001962,2245.26384963034,1473.87225771417,1484.72052031474,743.068309090704
