,CUMV_14730_Ct_leon,CUMV_14742_Ct_leon,CUMV_14744_Ct_leon,NA_CCM1955_Ct_leon,SAMR_62131_Ct_leon,WAMR_117303_Ct_leon,WAMR_119774_Ct_leon,WAMR_129973_Ct_leon,WAMR_131785_Ct_leon,WAMR_144639_Ct_leon,WAMR_166448_Ct_leon
CUMV_14730_Ct_leon,NA,0.319444444444444,0.223880597014925,1.41739130434783,1.05813953488372,0.264150943396226,1.05208333333333,0.119402985074627,0.672131147540984,0.266666666666667,1.04918032786885
CUMV_14742_Ct_leon,0.319444444444444,NA,0.679245283018868,1.83333333333333,1.35064935064935,0.4375,1.4,0.2,1.18367346938775,0.323529411764706,1.50943396226415
CUMV_14744_Ct_leon,0.223880597014925,0.679245283018868,NA,1.87234042553192,1.24,0.465116279069767,1.26315789473684,0.269230769230769,1.04444444444444,0.322033898305085,1.25490196078431
NA_CCM1955_Ct_leon,1.41739130434783,1.83333333333333,1.87234042553192,NA,1.05263157894737,1.67532467532468,0.836879432624113,1.64772727272727,1.61904761904762,1.53636363636364,1.08045977011494
SAMR_62131_Ct_leon,1.05813953488372,1.35064935064935,1.24,1.05263157894737,NA,1.26229508196721,0.465346534653465,1.22058823529412,1.5,1.02439024390244,0.263157894736842
WAMR_117303_Ct_leon,0.264150943396226,0.4375,0.465116279069767,1.67532467532468,1.26229508196721,NA,1.38095238095238,0.285714285714286,1.2,0.454545454545455,1.425
WAMR_119774_Ct_leon,1.05208333333333,1.4,1.26315789473684,0.836879432624113,0.465346534653465,1.38095238095238,NA,1.15384615384615,1.29268292682927,1.20689655172414,0.611111111111111
WAMR_129973_Ct_leon,0.119402985074627,0.2,0.269230769230769,1.64772727272727,1.22058823529412,0.285714285714286,1.15384615384615,NA,0.875,0.0645161290322581,1.19230769230769
WAMR_131785_Ct_leon,0.672131147540984,1.18367346938775,1.04444444444444,1.61904761904762,1.5,1.2,1.29268292682927,0.875,NA,1.07843137254902,1.5625
WAMR_144639_Ct_leon,0.266666666666667,0.323529411764706,0.322033898305085,1.53636363636364,1.02439024390244,0.454545454545455,1.20689655172414,0.0645161290322581,1.07843137254902,NA,1.09259259259259
WAMR_166448_Ct_leon,1.04918032786885,1.50943396226415,1.25490196078431,1.08045977011494,0.263157894736842,1.425,0.611111111111111,1.19230769230769,1.5625,1.09259259259259,NA
