,NA_CCM0753_Ct_robu,NA_CCM0823_Ct_robu,NA_CCM0830_Ct_inor,NA_CCM0847_Ct_robu,NA_CCM0849_Ct_inor,NA_CCM0850_Ct_inor,NA_CCM0946_Ct_inor,NA_CCM0980_Ct_mast,NA_CCM1061_Ct_sp,NA_CCM1206_Ct_robu,NA_CCM1390_Ct_inor,NA_CCM1529_Ct_inor,NA_CCM1579_Ct_inor
NA_CCM0753_Ct_robu,NA,51.6249528682944,51.4450913072369,1.23277268400092,27.7209082280948,28.0196627120286,76.2046916463244,55.3064812060864,113.062672885113,69.2167808458909,174.938703558101,186.72073929027,155.33417829922
NA_CCM0823_Ct_robu,51.6249528682944,NA,0.285029135495423,52.8377135920145,75.0882522964325,75.4541863380009,92.248451039797,67.6379724550955,84.8153310435574,118.403555302411,186.307129157034,173.355285326751,142.083170965947
NA_CCM0830_Ct_inor,51.4450913072369,0.285029135495423,NA,52.6587808895107,74.8612173187784,75.2273122056788,92.3295667068165,67.7073646013106,84.6678505699649,118.279450248115,186.037071418261,173.157916999991,141.879109505433
NA_CCM0847_Ct_robu,1.23277268400092,52.8377135920145,52.6587808895107,NA,26.9464296921751,27.2372547798928,75.9847459481431,55.3449007035687,114.080282157415,68.0154332108258,175.069285199651,187.400030565603,156.040716603823
NA_CCM0849_Ct_inor,27.7209082280948,75.0882522964325,74.8612173187784,26.9464296921751,NA,0.372668059523517,96.1991540778115,78.8536585348348,118.907908551421,61.7501251220431,156.875669627402,180.66693956204,150.415231663262
NA_CCM0850_Ct_inor,28.0196627120286,75.4541863380009,75.2273122056788,27.2372547798928,0.372668059523517,NA,96.2980512159494,79.0235771842115,119.216093408339,61.5090076118714,156.876209074332,180.845532188672,150.612382120213
NA_CCM0946_Ct_inor,76.2046916463244,92.248451039797,92.3295667068165,75.9847459481431,96.1991540778115,96.2980512159494,NA,24.8459918532792,175.593036916739,79.8580971114725,250.952928631657,258.755747901629,227.057429022563
NA_CCM0980_Ct_mast,55.3064812060864,67.6379724550955,67.7073646013106,55.3449007035687,78.8536585348348,79.0235771842115,24.8459918532792,NA,150.747529591384,79.3524423315233,229.929249362038,234.433792704085,202.731499254501
NA_CCM1061_Ct_sp,113.062672885113,84.8153310435574,84.6678505699649,114.080282157415,118.907908551421,119.216093408339,175.593036916739,150.747529591384,NA,179.213503494225,133.176114748102,92.462293783821,63.6325738814126
NA_CCM1206_Ct_robu,69.2167808458909,118.403555302411,118.279450248115,68.0154332108258,61.7501251220431,61.5090076118714,79.8580971114725,79.3524423315233,179.213503494225,NA,207.773084657512,241.431744616197,211.676108412505
NA_CCM1390_Ct_inor,174.938703558101,186.307129157034,186.037071418261,175.069285199651,156.875669627402,156.876209074332,250.952928631657,229.929249362038,133.176114748102,207.773084657512,NA,86.4056558267418,84.5723174868766
NA_CCM1529_Ct_inor,186.72073929027,173.355285326751,173.157916999991,187.400030565603,180.66693956204,180.845532188672,258.755747901629,234.433792704085,92.462293783821,241.431744616197,86.4056558267418,NA,31.7027446940654
NA_CCM1579_Ct_inor,155.33417829922,142.083170965947,141.879109505433,156.040716603823,150.415231663262,150.612382120213,227.057429022563,202.731499254501,63.6325738814126,211.676108412505,84.5723174868766,31.7027446940654,NA
