,SAMAR_25645_Ct_orie,SAMAR_38335_Ct_orie,SAMAR_39580_Ct_orie,SAMAR_49444_Ct_orie,SAMAR_52918_Ct_orie,SAMAR_61391_Ct_orie,WAMR_112780_Ct_orie
SAMAR_25645_Ct_orie,NA,1037.96242706564,880.926217114691,272.659127850142,2190.26322618995,577.656472308586,348.94985313079
SAMAR_38335_Ct_orie,1037.96242706564,NA,220.542512908509,939.050051914167,1154.38858275712,1615.57327286632,696.722326325201
SAMAR_39580_Ct_orie,880.926217114691,220.542512908509,NA,745.805604698704,1319.44154853483,1453.45312961925,562.518444142057
SAMAR_49444_Ct_orie,272.659127850142,939.050051914167,745.805604698704,NA,2062.94255857986,745.47032134083,366.318167717628
SAMAR_52918_Ct_orie,2190.26322618995,1154.38858275712,1319.44154853483,2062.94255857986,NA,2767.23508217137,1851.09886283796
SAMAR_61391_Ct_orie,577.656472308586,1615.57327286632,1453.45312961925,745.47032134083,2767.23508217137,NA,923.579449749722
WAMR_112780_Ct_orie,348.94985313079,696.722326325201,562.518444142057,366.318167717628,1851.09886283796,923.579449749722,NA
