,UMMZ_242643_Ct_pant,WAMR_104950_Ct_pant,WAMR_108591_Ct_pant,WAMR_132520_Ct_pant,WAMR_135379_Ct_pant,WAMR_145526_Ct_pant,WAMR_158463_Ct_pant
UMMZ_242643_Ct_pant,NA,913.350973065667,566.468887053826,763.624253150723,1078.19015020543,443.136547804399,35.4823899984203
WAMR_104950_Ct_pant,913.350973065667,NA,425.623072682861,1671.31385442711,183.47206871892,477.078609874725,917.506948202574
WAMR_108591_Ct_pant,566.468887053826,425.623072682861,NA,1291.80764822012,554.179573784527,172.536952563791,562.245497981087
WAMR_132520_Ct_pant,763.624253150723,1671.31385442711,1291.80764822012,NA,1831.43550254984,1194.94183958886,755.247641505751
WAMR_135379_Ct_pant,1078.19015020543,183.47206871892,554.179573784527,1831.43550254984,NA,638.941311858922,1081.2007214204
WAMR_145526_Ct_pant,443.136547804399,477.078609874725,172.536952563791,1194.94183958886,638.941311858922,NA,443.802884172692
WAMR_158463_Ct_pant,35.4823899984203,917.506948202574,562.245497981087,755.247641505751,1081.2007214204,443.802884172692,NA
