,NA_ABTC89250_Ct_broo,SAMAR_25688_Ct_eucl,SAMAR_36575_Ct_eucl,SAMAR_56672_Ct_broo,SAMAR_61390_Ct_eucl,SAMR_46072_Ct_eucl
NA_ABTC89250_Ct_broo,NA,592.785218335456,219.791927157582,137.084494190409,401.208264207195,54.5723751616677
SAMAR_25688_Ct_eucl,592.785218335456,NA,383.190447234004,455.701155461485,191.594090448019,540.36554644045
SAMAR_36575_Ct_eucl,219.791927157582,383.190447234004,NA,92.6999025634178,194.707440944429,174.30531824068
SAMAR_56672_Ct_broo,137.084494190409,455.701155461485,92.6999025634178,NA,264.124744070824,85.7558981868325
SAMAR_61390_Ct_eucl,401.208264207195,191.594090448019,194.707440944429,264.124744070824,NA,348.983921528935
SAMR_46072_Ct_eucl,54.5723751616677,540.36554644045,174.30531824068,85.7558981868325,348.983921528935,NA
