,CUMV_14357_Ct_dux,CUMV_14361_Ct_dux,CUMV_14362_Ct_dux,CUMV_14366_Ct_dux,CUMV_14367_Ct_dux,CUMV_14370_Ct_dux,CUMV_14373_Ct_dux,CUMV_14374_Ct_dux,QMJ_62380_Ct_dux,SAMAR_29946_Ct_dux,SAMAR_48573_Ct_dux,SAMAR_57212_Ct_dux,SAMR_36098_Ct_dux,SAMR_42034_Ct_dux,SAMR_45608_Ct_dux,SAMR_46165_Ct_dux,SAMR_56476_Ct_dux,SAMR_62379_Ct_dux,WAMR_166441_Ct_dux
CUMV_14357_Ct_dux,NA,0,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,537.781554164886,87.9204185613331,58.6941223633168,431.79161640773,882.615431544226,69.6491205974634,156.022434284304,325.229149985053,230.358416386291,417.940187108155,962.090952041438,110.607413856396
CUMV_14361_Ct_dux,0,NA,0,537.781554164886,537.781554164886,537.781554164886,537.781554164886,537.781554164886,87.9204185613331,58.6941223633168,431.79161640773,882.615431544226,69.6491205974634,156.022434284304,325.229149985053,230.358416386291,417.940187108155,962.090952041438,110.607413856396
CUMV_14362_Ct_dux,0,0,NA,537.781554164886,537.781554164886,537.781554164886,537.781554164886,537.781554164886,87.9204185613331,58.6941223633168,431.79161640773,882.615431544226,69.6491205974634,156.022434284304,325.229149985053,230.358416386291,417.940187108155,962.090952041438,110.607413856396
CUMV_14366_Ct_dux,537.781554164886,537.781554164886,537.781554164886,NA,0,0,0,0,451.646986041089,536.509086595931,134.41354098453,347.054750723859,587.935370597823,438.600045599633,233.85251762596,327.80787055835,152.973853975116,425.511456955039,502.701700812719
CUMV_14367_Ct_dux,537.781554164886,537.781554164886,537.781554164886,0,NA,0,0,0,451.646986041089,536.509086595931,134.41354098453,347.054750723859,587.935370597823,438.600045599633,233.85251762596,327.80787055835,152.973853975116,425.511456955039,502.701700812719
CUMV_14370_Ct_dux,537.781554164886,537.781554164886,537.781554164886,0,0,NA,0,0,451.646986041089,536.509086595931,134.41354098453,347.054750723859,587.935370597823,438.600045599633,233.85251762596,327.80787055835,152.973853975116,425.511456955039,502.701700812719
CUMV_14373_Ct_dux,537.781554164886,537.781554164886,537.781554164886,0,0,0,NA,0,451.646986041089,536.509086595931,134.41354098453,347.054750723859,587.935370597823,438.600045599633,233.85251762596,327.80787055835,152.973853975116,425.511456955039,502.701700812719
CUMV_14374_Ct_dux,537.781554164886,537.781554164886,537.781554164886,0,0,0,0,NA,451.646986041089,536.509086595931,134.41354098453,347.054750723859,587.935370597823,438.600045599633,233.85251762596,327.80787055835,152.973853975116,425.511456955039,502.701700812719
QMJ_62380_Ct_dux,87.9204185613331,87.9204185613331,87.9204185613331,451.646986041089,451.646986041089,451.646986041089,451.646986041089,451.646986041089,NA,108.004629530405,349.110297757027,796.956711496929,147.766708023154,119.987499348891,245.328351398692,156.208194407336,336.318301613219,876.186623956335,114.394055789626
SAMAR_29946_Ct_dux,58.6941223633168,58.6941223633168,58.6941223633168,536.509086595931,536.509086595931,536.509086595931,536.509086595931,536.509086595931,108.004629530405,NA,421.434455164738,876.964651511109,53.497663500381,121.679907955258,312.680347959382,214.615936034582,405.998768471039,957.059036841511,70.7036066972541
SAMAR_48573_Ct_dux,431.79161640773,431.79161640773,431.79161640773,134.41354098453,134.41354098453,134.41354098453,134.41354098453,134.41354098453,349.110297757027,421.434455164738,NA,456.769088271087,474.022151381135,315.222143892208,109.444049632678,207.169013126964,19.0262975904404,537.033518506992,382.191051700586
SAMAR_57212_Ct_dux,882.615431544226,882.615431544226,882.615431544226,347.054750723859,347.054750723859,347.054750723859,347.054750723859,347.054750723859,796.956711496929,876.964651511109,456.769088271087,NA,929.342240512073,771.665082791751,565.991166008799,663.637702364777,473.389902722903,80.4300938703916,838.387738459956
SAMR_36098_Ct_dux,69.6491205974634,69.6491205974634,69.6491205974634,587.935370597823,587.935370597823,587.935370597823,587.935370597823,587.935370597823,147.766708023154,53.497663500381,474.022151381135,929.342240512073,NA,171.353435915362,365.268394471791,267.301328092473,458.710148132783,1009.3542490127,109.612955438671
SAMR_42034_Ct_dux,156.022434284304,156.022434284304,156.022434284304,438.600045599633,438.600045599633,438.600045599633,438.600045599633,438.600045599633,119.987499348891,121.679907955258,315.222143892208,771.665082791751,171.353435915362,NA,206.579282601136,112.436648829463,298.404088443842,851.89788120408,72.3671196055225
SAMR_45608_Ct_dux,325.229149985053,325.229149985053,325.229149985053,233.85251762596,233.85251762596,233.85251762596,233.85251762596,233.85251762596,245.328351398692,312.680347959382,109.444049632678,565.991166008799,365.268394471791,206.579282601136,NA,98.2700361249552,93.7016542009798,646.205075807982,273.67864366808
SAMR_46165_Ct_dux,230.358416386291,230.358416386291,230.358416386291,327.80787055835,327.80787055835,327.80787055835,327.80787055835,327.80787055835,156.208194407336,214.615936034582,207.169013126964,663.637702364777,267.301328092473,112.436648829463,98.2700361249552,NA,191.475847040821,743.853480196201,177.839815564457
