,QMJ_62373_Ct_asta,SAMAR_42823_Ct_asta,SAMAR_42840_Ct_asta,SAMAR_42843_Ct_asta,SAMAR_42903_Ct_asta,SAMAR_42949_Ct_orie,SAMAR_42950_Ct_orie
QMJ_62373_Ct_asta,NA,299.294169672582,429.726657306712,531.433909343391,19.3649167310371,174.186681465605,162.600738005705
SAMAR_42823_Ct_asta,299.294169672582,NA,131.171643277044,234.799914821109,318.122617869274,471.009554043227,460.53230071299
SAMAR_42840_Ct_asta,429.726657306712,131.171643277044,NA,106.831643252362,448.537623839963,601.750778977477,591.285041244914
SAMAR_42843_Ct_asta,531.433909343391,234.799914821109,106.831643252362,NA,549.931813955148,704.616917196855,693.686528628025
SAMAR_42903_Ct_asta,19.3649167310371,318.122617869274,448.537623839963,549.931813955148,NA,156.569473397594,144.609819860202
SAMAR_42949_Ct_orie,174.186681465605,471.009554043227,601.750778977477,704.616917196855,156.569473397594,NA,15.0332963783729
SAMAR_42950_Ct_orie,162.600738005705,460.53230071299,591.285041244914,693.686528628025,144.609819860202,15.0332963783729,NA
