,QMJ_74401_Ct_zebr,SAMAR_55709_Ct_zebr,SAMAR_55848_Ct_stra,SAMR_54494_Ct_zebr,SAMR_54511_Ct_zebr
QMJ_74401_Ct_zebr,NA,154.628587266391,280.595794694076,71.4002801114954,0
SAMAR_55709_Ct_zebr,154.628587266391,NA,429.327380911118,117.192149907748,154.628587266391
SAMAR_55848_Ct_stra,280.595794694076,429.327380911118,NA,318.062886863589,280.595794694076
SAMR_54494_Ct_zebr,71.4002801114954,117.192149907748,318.062886863589,NA,71.4002801114954
SAMR_54511_Ct_zebr,0,154.628587266391,280.595794694076,71.4002801114954,NA
