,NA_ABTC113741_Ct_saxa,NA_CCM0090_Ct_late,SAMAR_34261_Ct_late,SAMAR_42687_Ct_late,SAMAR_42768_Ct_late,SAMAR_54433_Ct_late,SAMAR_54463_Ct_late,SAMAR_55259_Ct_late,SAMAR_55799_Ct_late,SAMR_42758_Ct_late,SAMR_54340_Ct_late,SAMR_54434_Ct_late,SAMR_65407_Ct_late,SAMR_65416_Ct_late
NA_ABTC113741_Ct_saxa,NA,2.56,0.19047619047619,0.285714285714286,0.361111111111111,0.526315789473684,0.28,0.371428571428571,2.61538461538462,0.592592592592593,0.25,0.692307692307692,0.724137931034483,0.838709677419355
NA_CCM0090_Ct_late,2.56,NA,2.07692307692308,4.75,2.89473684210526,3.42105263157895,4.4,3.77777777777778,0.1,5.66666666666667,3.36842105263158,4.92307692307693,5.14285714285714,6.90909090909091
SAMAR_34261_Ct_late,0.19047619047619,2.07692307692308,NA,0.45945945945946,0.25,0.275,0.310344827586207,0.205128205128205,2.32,0.40625,0.194444444444444,0.8,0.28125,0.724137931034483
SAMAR_42687_Ct_late,0.285714285714286,4.75,0.45945945945946,NA,0.428571428571429,0.529411764705882,0.5,0.290322580645161,4.875,0.5,0.321428571428571,1.15,0.739130434782609,1.05
SAMAR_42768_Ct_late,0.361111111111111,2.89473684210526,0.25,0.428571428571429,NA,0.363636363636364,0.347826086956522,0.121212121212121,2.68181818181818,0.185185185185185,0.366666666666667,0.478260869565217,0.192307692307692,0.583333333333333
SAMAR_54433_Ct_late,0.526315789473684,3.42105263157895,0.275,0.529411764705882,0.363636363636364,NA,0.217391304347826,0.235294117647059,3.52380952380952,0.461538461538462,0.424242424242424,0.384615384615385,0.535714285714286,0.96
SAMAR_54463_Ct_late,0.28,4.4,0.310344827586207,0.5,0.347826086956522,0.217391304347826,NA,0.391304347826087,5.14285714285714,0.555555555555556,0.6,0.705882352941176,1.05882352941176,0.947368421052632
SAMAR_55259_Ct_late,0.371428571428571,3.77777777777778,0.205128205128205,0.290322580645161,0.121212121212121,0.235294117647059,0.391304347826087,NA,3.65,0.384615384615385,0.21875,0.681818181818182,0.48,1.08333333333333
SAMAR_55799_Ct_late,2.61538461538462,0.1,2.32,4.875,2.68181818181818,3.52380952380952,5.14285714285714,3.65,NA,5,3.78947368421053,6.33333333333333,6.66666666666667,6.75
SAMR_42758_Ct_late,0.592592592592593,5.66666666666667,0.40625,0.5,0.185185185185185,0.461538461538462,0.555555555555556,0.384615384615385,5,NA,0.461538461538462,1.1,0.45,0.555555555555556
SAMR_54340_Ct_late,0.25,3.36842105263158,0.194444444444444,0.321428571428571,0.366666666666667,0.424242424242424,0.6,0.21875,3.78947368421053,0.461538461538462,NA,0.92,0.461538461538462,0.64
SAMR_54434_Ct_late,0.692307692307692,4.92307692307693,0.8,1.15,0.478260869565217,0.384615384615385,0.705882352941176,0.681818181818182,6.33333333333333,1.1,0.92,NA,1.47368421052632,1.88235294117647
SAMR_65407_Ct_late,0.724137931034483,5.14285714285714,0.28125,0.739130434782609,0.192307692307692,0.535714285714286,1.05882352941176,0.48,6.66666666666667,0.45,0.461538461538462,1.47368421052632,NA,0.941176470588235
SAMR_65416_Ct_late,0.838709677419355,6.90909090909091,0.724137931034483,1.05,0.583333333333333,0.96,0.947368421052632,1.08333333333333,6.75,0.555555555555556,0.64,1.88235294117647,0.941176470588235,NA
