,NA_ABTC113798_Ct_scho,NA_ABTC12623_Ct_scho,SAMAR_24578_Ct_scho,SAMAR_35050_Ct_scho,SAMAR_37073_Ct_scho,SAMAR_41321_Ct_scho,SAMAR_41903_Ct_scho,SAMAR_46104_Ct_scho,SAMAR_46452_Ct_scho,SAMAR_48325_Ct_scho,SAMAR_48354_Ct_scho,SAMAR_49141_Ct_scho,SAMAR_50062_Ct_scho,SAMAR_59192_Ct_scho,SAMAR_60340_Ct_scho,SAMAR_62561_Ct_scho,SAMR_62121_Ct_scho,SAMR_65381_Ct_scho
NA_ABTC113798_Ct_scho,NA,1.30508474576271,0.428571428571429,0.606060606060606,4.17241379310345,3.42424242424242,1.45762711864407,1.02985074626866,0.511111111111111,0.5,0.245283018867925,2.06122448979592,0.39622641509434,2.94736842105263,1.2,1.88,1.13725490196078,0.25
NA_ABTC12623_Ct_scho,1.30508474576271,NA,1.33333333333333,1.63636363636364,1.52,1.47058823529412,0.397727272727273,0.206185567010309,1.89830508474576,1.32835820895522,1.15384615384615,0.626666666666667,1.26315789473684,0.818181818181818,0.333333333333333,0.285714285714286,0.126760563380282,1.63934426229508
SAMAR_24578_Ct_scho,0.428571428571429,1.33333333333333,NA,0.384615384615385,4.12820512820513,4.02325581395349,1.525,1.40243902439024,0.680851063829787,0.433333333333333,0.21875,2.13636363636364,0.194444444444444,2.87755102040816,1.39759036144578,1.98360655737705,1.35185185185185,0.75
SAMAR_35050_Ct_scho,0.606060606060606,1.63636363636364,0.384615384615385,NA,5.6,5.78260869565217,1.83333333333333,1.43859649122807,0.454545454545455,0.277777777777778,0.227272727272727,2.36585365853659,0.2,3.96296296296296,1.40677966101695,1.8936170212766,1.28260869565217,1.02777777777778
SAMAR_37073_Ct_scho,4.17241379310345,1.52,4.12820512820513,5.6,NA,-0.19047619047619,1.48,1.06896551724138,5.78571428571428,5.78571428571428,3.36363636363636,1.325,3.68292682926829,2.12,1.11864406779661,1.5,1.7027027027027,5.17857142857143
SAMAR_41321_Ct_scho,3.42424242424242,1.47058823529412,4.02325581395349,5.78260869565217,-0.19047619047619,NA,1.76363636363636,1.38983050847458,5.35714285714285,4.91428571428572,3.27272727272727,1.53658536585366,4.14634146341463,2.14285714285714,1.24590163934426,1.4468085106383,1.46153846153846,4.76666666666667
SAMAR_41903_Ct_scho,1.45762711864407,0.397727272727273,1.525,1.83333333333333,1.48,1.76363636363636,NA,0.29,1.65625,1.61111111111111,1.225,0.710526315789474,1.53164556962025,0.876923076923077,0.237623762376238,0.3375,0.25,1.93333333333333
SAMAR_46104_Ct_scho,1.02985074626866,0.206185567010309,1.40243902439024,1.43859649122807,1.06896551724138,1.38983050847458,0.29,NA,1.59090909090909,1.44,1.0952380952381,0.654320987654321,1.16470588235294,0.739130434782609,0.150943396226415,0.340909090909091,0.140845070422535,1.74193548387097
SAMAR_46452_Ct_scho,0.511111111111111,1.89830508474576,0.680851063829787,0.454545454545455,5.78571428571428,5.35714285714285,1.65625,1.59090909090909,NA,0.195121951219512,0.163636363636364,2.69565217391304,0.34,3.43243243243243,1.83333333333333,2.49019607843137,1.52083333333333,1.35135135135135
SAMAR_48325_Ct_scho,0.5,1.32835820895522,0.433333333333333,0.277777777777778,5.78571428571428,4.91428571428572,1.61111111111111,1.44,0.195121951219512,NA,0.107142857142857,2.47368421052632,0.266666666666667,3.55,1.71052631578947,2.14035087719298,1.35294117647059,1.47368421052632
SAMAR_48354_Ct_scho,0.245283018867925,1.15384615384615,0.21875,0.227272727272727,3.36363636363636,3.27272727272727,1.225,1.0952380952381,0.163636363636364,0.107142857142857,NA,1.859375,0.0491803278688525,2.68085106382979,1.23170731707317,1.66176470588235,1.25454545454545,0.69811320754717
