,NA_CCM0956_Ct_robu,NA_CCM1388_Ct_robu,NA_CCM1389_Ct_robu,NA_CCM1409_Ct_robu,NA_CCM1412_Ct_robu,NA_CCM1415_Ct_robu,NA_CCM2866_Ct_robu,NTMR_13838_Ct_bore,NTMR_17739_Ct_bore,NTMR_18323_Ct_robu,NTMR_20378_Ct_robu,NTMR_22166_Ct_robu,NTMR_22620_Ct_robu,NTMR_23004_Ct_bore,NTMR_23960_Ct_robu,WAMR_137950_Ct_robu
NA_CCM0956_Ct_robu,NA,228.487130414197,224.482517436821,224.482517436821,228.780138318326,227.773298187321,313.488707789014,670.62509135862,541.932128987427,559.758230444304,575.890479297917,511.586550190329,954.069507620222,570.484308641779,962.250654793985,284.684769228454
NA_CCM1388_Ct_robu,228.487130414197,NA,4.11878290652859,4.11878290652859,0.351105109874591,0.841491355316665,146.78608949567,853.704760415059,749.490781063885,692.763124884376,776.699617229894,702.542707669821,1077.27549513365,785.635946672453,1142.08051339174,401.722418004083
NA_CCM1389_Ct_robu,224.482517436821,4.11878290652859,NA,0,4.45022429324855,3.33159099906011,147.419310315075,849.799861204327,745.406282375187,689.308756031654,772.653977057074,698.553946543573,1074.06566063127,781.523835625035,1138.23712634625,398.175164611295
NA_CCM1409_Ct_robu,224.482517436821,4.11878290652859,0,NA,4.45022429324855,3.33159099906011,147.419310315075,849.799861204327,745.406282375187,689.308756031654,772.653977057074,698.553946543573,1074.06566063127,781.523835625035,1138.23712634625,398.175164611295
NA_CCM1412_Ct_robu,228.780138318326,0.351105109874591,4.45022429324855,4.45022429324855,NA,1.19250700754554,146.859527046606,854.055736310912,749.833328418093,693.105442290578,777.046137970252,702.892099717473,1077.60811578147,785.97206679919,1142.43156742463,402.067828179692
NA_CCM1415_Ct_robu,227.773298187321,0.841491355316665,3.33159099906011,3.33159099906011,1.19250700754554,NA,146.635558917917,852.86326908876,748.66516050978,691.948061643328,775.865783373969,701.703397540359,1076.48588711926,784.824170583611,1141.23983462081,400.898981536663
NA_CCM2866_Ct_robu,313.488707789014,146.78608949567,147.419310315075,147.419310315075,146.859527046606,146.635558917917,NA,839.505584585537,765.354059825332,644.912450820002,783.467370497298,701.599028221349,1010.21350551158,811.141208199079,1118.18844282473,371.574072622824
NTMR_13838_Ct_bore,670.62509135862,853.704760415059,849.799861204327,849.799861204327,854.055736310912,852.86326908876,839.505584585537,NA,186.492571796692,250.810957258435,133.689721320489,160.990137415763,403.293185561952,227.166636980041,291.632609360031,467.942669249124
NTMR_17739_Ct_bore,541.932128987427,749.490781063885,745.406282375187,745.406282375187,749.833328418093,748.66516050978,765.354059825332,186.492571796692,NA,322.780120678719,52.8147067021334,100.272147214041,584.674860037927,65.8916572652678,449.657099738551,410.815525025281
NTMR_18323_Ct_robu,559.758230444304,692.763124884376,689.308756031654,689.308756031654,693.105442290578,691.948061643328,644.912450820002,250.810957258435,322.780120678719,NA,293.116637426503,224.209679770293,394.357824096788,388.050093803128,485.299124924028,291.95536923534
NTMR_20378_Ct_robu,575.890479297917,776.699617229894,772.653977057074,772.653977057074,777.046137970252,775.865783373969,783.467370497298,133.689721320489,52.8147067021334,293.116637426503,NA,87.4760294921937,533.159963339729,102.754522442388,402.000924449359,420.36847255194
NTMR_22166_Ct_robu,511.586550190329,702.542707669821,698.553946543573,698.553946543573,702.892099717473,701.703397540359,701.599028221349,160.990137415763,100.272147214041,224.209679770293,87.4760294921937,NA,523.620445449581,166.163668165817,451.542190932736,335.132408569262
NTMR_22620_Ct_robu,954.069507620222,1077.27549513365,1074.06566063127,1074.06566063127,1077.60811578147,1076.48588711926,1010.21350551158,403.293185561952,584.674860037927,394.357824096788,533.159963339729,523.620445449581,NA,630.390873918817,345.743316689339,682.269162498499
NTMR_23004_Ct_bore,570.484308641779,785.635946672453,781.523835625035,781.523835625035,785.97206679919,784.824170583611,811.141208199079,227.166636980041,65.8916572652678,388.050093803128,102.754522442388,166.163668165817,630.390873918817,NA,460.60874578702,465.540218934438
NTMR_23960_Ct_robu,962.250654793985,1142.08051339174,1138.23712634625,1138.23712634625,1142.43156742463,1141.23983462081,1118.18844282473,291.632609360031,449.657099738551,485.299124924028,402.000924449359,451.542190932736,345.743316689339,460.60874578702,NA,748.53391866048
WAMR_137950_Ct_robu,284.684769228454,401.722418004083,398.175164611295,398.175164611295,402.067828179692,400.898981536663,371.574072622824,467.942669249124,410.815525025281,291.95536923534,420.36847255194,335.132408569262,682.269162498499,465.540218934438,748.53391866048,NA
