,NA_CCM1971_Ct_vert,NA_CCM2315_Ct_vert,NA_CCM2343_Ct_vert,NA_CCM2519_Ct_vert,NA_CCM2549_Ct_vert,NA_CCM3915_Ct_vert,NA_CCM5466_Ct_vert,NTMR_16195_Ct_vert
NA_CCM1971_Ct_vert,NA,48.2063368189342,57.2343300964067,52.6638939211914,78.5868769441789,184.78923791836,60.0070245363692,238.92668811844
NA_CCM2315_Ct_vert,48.2063368189342,NA,20.4615832971856,55.2601258720601,34.6949382890773,139.884254378353,105.295339180398,190.94461858714
NA_CCM2343_Ct_vert,57.2343300964067,20.4615832971856,NA,43.2626688964665,21.9884889306056,144.50075706619,107.536046759853,188.651120650716
NA_CCM2519_Ct_vert,52.6638939211914,55.2601258720601,43.2626688964665,NA,60.8077805756622,187.396000536405,77.6682701391973,227.489152630602
NA_CCM2549_Ct_vert,78.5868769441789,34.6949382890773,21.9884889306056,60.8077805756622,NA,127.52535135619,129.353806682135,167.650865977589
NA_CCM3915_Ct_vert,184.78923791836,139.884254378353,144.50075706619,187.396000536405,127.52535135619,NA,244.308109538026,73.2270125762134
NA_CCM5466_Ct_vert,60.0070245363692,105.295339180398,107.536046759853,77.6682701391973,129.353806682135,244.308109538026,NA,295.454035710435
NTMR_16195_Ct_vert,238.92668811844,190.94461858714,188.651120650716,227.489152630602,167.650865977589,73.2270125762134,295.454035710435,NA
