,NA_CCM0848_Ct_inor,NA_CCM1249_Ct_inor,NA_CCM1444_Ct_inor,NA_CCM1445_Ct_inor,NA_CCM1530_Ct_robu,NA_CCM1580_Ct_inor,NA_CCM1710_Ct_inor,NA_CCM4920_Ct_essi,WAMR_126017_Ct_inor
NA_CCM0848_Ct_inor,NA,1,0.852941176470588,0.547619047619048,0.962962962962963,0.648648648648649,0.902439024390244,3.04545454545454,0.8
NA_CCM1249_Ct_inor,1,NA,0.627450980392157,0.209677419354839,0.574468085106383,0.764705882352941,0.508196721311475,1.63636363636364,0.258064516129032
NA_CCM1444_Ct_inor,0.852941176470588,0.627450980392157,NA,0.214285714285714,0.604651162790698,0.62,0.636363636363636,1.65853658536585,0.263157894736842
NA_CCM1445_Ct_inor,0.547619047619048,0.209677419354839,0.214285714285714,NA,0.428571428571429,0.19672131147541,0.208955223880597,1.26086956521739,0.147058823529412
NA_CCM1530_Ct_robu,0.962962962962963,0.574468085106383,0.604651162790698,0.428571428571429,NA,0.4375,0.735849056603774,1.91176470588235,0.611111111111111
NA_CCM1580_Ct_inor,0.648648648648649,0.764705882352941,0.62,0.19672131147541,0.4375,NA,0.45,1.53658536585366,0.524590163934426
NA_CCM1710_Ct_inor,0.902439024390244,0.508196721311475,0.636363636363636,0.208955223880597,0.735849056603774,0.45,NA,1.31818181818182,0.463768115942029
NA_CCM4920_Ct_essi,3.04545454545454,1.63636363636364,1.65853658536585,1.26086956521739,1.91176470588235,1.53658536585366,1.31818181818182,NA,1.30769230769231
WAMR_126017_Ct_inor,0.8,0.258064516129032,0.263157894736842,0.147058823529412,0.611111111111111,0.524590163934426,0.463768115942029,1.30769230769231,NA
