SAMPLE_ID,miss_prop
AMSR_111496_Ct_essi,0.14
ANWC_R05116_Ct_brev,0.56
NA_CCM1969_Ct_vert,0.69
NA_CCM1971_Ct_vert,0.29
NA_CCM2279_Ct_essi,0.26
NA_CCM2281_Ct_cogg,0.38
NA_CCM2294_Ct_essi,0.35
NA_CCM2315_Ct_vert,0.18
NA_CCM2339_Ct_essi,0.32
NA_CCM2343_Ct_vert,0.19
NA_CCM2519_Ct_vert,0.32
NA_CCM2549_Ct_vert,0.21
NA_CCM2556_Ct_cogg,0.34
NA_CCM3915_Ct_vert,0.21
NA_CCM3982_Ct_essi,0.22
NA_CCM4853_Ct_essi,0.12
NA_CCM5043_Ct_essi,0.15
NA_CCM5044_Ct_essi,0.21
NA_CCM5466_Ct_vert,0.27
NA_CCM6122_Ct_essi,0.13
NA_CCM6150_Ct_essi,0.1
NA_CCM6499_Ct_essi,0.33
NA_K021_Ct_essi,0.12
NA_K073_Ct_essi,0.23
NA_NEB008_Ct_essi,0.27
NA_YMR74_Ct_essi,0.29
NA_YMR77_Ct_essi,0.19
NTMR_13717_Ct_essi,0.13
NTMR_16195_Ct_vert,0.33
NTMR_20364_Ct_arnh,0.46
NTMR_22188_Ct_essi,0.18
NTMR_22191_Ct_essi,0.37
NTMR_23150_Ct_cogg,0.69
SAMAR_34260_Ct_joan,0.29
SAMAR_36710_Ct_essi,0.23
SAMAR_43945_Ct_joan,0.29
SAMAR_54020_Ct_joan,0.31
SAMR_45040_Ct_joan,0.54
SAMR_54024_Ct_joan,0.28
SAMR_55275_Ct_joan,0.29
