SAMPLE_ID,miss_prop
QM_59674_Ct_ingr,0.5
QM_84335_Ct_quin,0.34
SAMAR_33571_Ct_taen,0.06
SAMAR_33727_Ct_taen,0.3
SAMAR_34743_Ct_taen,0.23
SAMAR_55603_Ct_taen,0.13
SAMAR_55863_Ct_taen,0.16
SAMAR_55882_Ct_taen,0.12
SAMR_55637_Ct_arca,0.21
SAMR_55638_Ct_arca,0.22
SAMR_65418_Ct_agre,0.34
