SAMPLE_ID,miss_prop
CUMV_14408_Ct_broo,0.23
CUMV_14409_Ct_broo,0.26
CUMV_14410_Ct_broo,0.29
CUMV_14411_Ct_broo,0.26
CUMV_14412_Ct_broo,0.23
CUMV_14681_Ct_scho,0.53
CUMV_14700_Ct_scho,0.27
CUMV_14851_Ct_calu,0.51
CUMV_14858_Ct_calu,0.34
NA_ABTC10487_Ct_broo,0.22
NA_ABTC113798_Ct_scho,0.35
NA_ABTC113879_Ct_stra,0.36
NA_ABTC113898_Ct_stra,0.27
NA_ABTC125975_Ct_allo,0.46
NA_ABTC12607_Ct_broo,0.46
NA_ABTC12623_Ct_scho,0.28
NA_ABTC89250_Ct_broo,0.18
NA_DLR0549_Ct_broo,0.24
NTMR_14947_Ct_calu,0.32
QMJ_74401_Ct_zebr,0.4
QM_62377_Ct_broo,0.66
QM_87405_Ct_rosa,0.42
SAMAR_24578_Ct_scho,0.17
SAMAR_25378_Ct_scho,0.26
SAMAR_25688_Ct_eucl,0.29
SAMAR_26237_Ct_broo,0.17
SAMAR_26265_Ct_scho,0.25
SAMAR_29939_Ct_broo,0.24
SAMAR_32029_Ct_broo,0.27
SAMAR_32255_Ct_scho,0.34
SAMAR_34780_Ct_stra,0.43
SAMAR_35050_Ct_scho,0.39
SAMAR_36034_Ct_taen,0.21
SAMAR_36575_Ct_eucl,0.23
SAMAR_36883_Ct_stra,0.33
SAMAR_37073_Ct_scho,0.26
SAMAR_37916_Ct_stra,0.29
SAMAR_39563_Ct_taen,0.25
SAMAR_41321_Ct_scho,0.22
SAMAR_41349_Ct_stra,0.24
SAMAR_41903_Ct_scho,0.15
SAMAR_42343_Ct_stra,0.31
SAMAR_42658_Ct_taen,0.23
SAMAR_42743_Ct_stra,0.36
SAMAR_42800_Ct_stra,0.35
SAMAR_42874_Ct_stra,0.41
SAMAR_42955_Ct_stra,0.34
SAMAR_45381_Ct_calu,0.33
SAMAR_45516_Ct_stra,0.39
SAMAR_45530_Ct_scho,0.2
SAMAR_45963_Ct_broo,0.3
SAMAR_46104_Ct_scho,0.15
SAMAR_46452_Ct_scho,0.29
SAMAR_47257_Ct_taen,0.23
SAMAR_48325_Ct_scho,0.22
SAMAR_48354_Ct_scho,0.26
SAMAR_48386_Ct_stra,0.23
SAMAR_48699_Ct_calu,0.3
SAMAR_48785_Ct_calu,0.31
SAMAR_49141_Ct_scho,0.19
SAMAR_50062_Ct_scho,0.2
SAMAR_50902_Ct_stra,0.3
SAMAR_55709_Ct_zebr,0.34
SAMAR_55848_Ct_stra,0.47
SAMAR_56458_Ct_broo,0.17
SAMAR_56672_Ct_broo,0.2
SAMAR_57213_Ct_calu,0.28
SAMAR_58943_Ct_broo,0.39
SAMAR_59192_Ct_scho,0.23
SAMAR_60340_Ct_scho,0.16
SAMAR_61390_Ct_eucl,0.25
SAMAR_62561_Ct_scho,0.23
SAMAR_65908_Ct_broo,0.2
SAMR_35905_Ct_taen,0.28
SAMR_42487_Ct_stra,0.32
SAMR_42881_Ct_stra,0.31
SAMR_44903_Ct_stra,0.31
SAMR_44934_Ct_taen,0.22
SAMR_44955_Ct_stra,0.28
SAMR_45029_Ct_stra,0.29
SAMR_46072_Ct_eucl,0.5
SAMR_46857_Ct_stra,0.32
SAMR_54494_Ct_zebr,0.34
SAMR_54511_Ct_zebr,0.35
SAMR_55734_Ct_stra,0.38
SAMR_62029_Ct_calu,0.44
SAMR_62121_Ct_scho,0.43
SAMR_62172_Ct_scho,0.68
SAMR_65381_Ct_scho,0.31
UMMZ_242648_Ct_scho,0.23
WAMR_077870_Ct_scho,0.5
WAMR_100527_Ct_scho,0.32
WAMR_102261_Ct_scho,0.25
WAMR_102733_Ct_scho,0.73
WAMR_127799_Ct_scho,0.54
WAMR_151241_Ct_scho,0.48
WAMR_151655_Ct_scho,0.28
WAMR_157443_Ct_scho,0.57
WAMR_158345_Ct_scho,0.38
WAMR_166437_Ct_scho,0.52
WAMR_166440_Ct_calu,0.25
