Annual_mean_temperature,Temperature_seasonality,Annual_precipitation,Precipitation_seasonality,ID,Latitude,Longitude,taxon
263,2107,1508,113,NA_CCM2339_Ct_essi,-13.28165,132.84531,coggeri
261,2067,1605,111,NA_CCM2343_Ct_vert,-13.222821,132.851348,vertebralis
264,2321,1263,101,NA_CCM2497_Ct_spal,-13.74413,132.62437,spaldingi
269,2098,1439,109,NA_CCM2518_Ct_vert,-13.3518,132.47234,superciliaris
269,2098,1439,109,NA_CCM2519_Ct_vert,-13.35304,132.47475,vertebralis
273,2029,1180,108,NA_CCM2549_Ct_vert,-13.04404,132.93799,vertebralis
261,1953,1591,113,NA_CCM2556_Ct_cogg,-12.99579,132.93111,coggeri
261,1953,1591,113,NA_CCM2565_Ct_vert,-12.99761,132.93274,superciliaris
256,4983,362,95,NA_CCM2756_Ct_pant,-20.0486,136.67242,pantherinus
286,3311,546,122,NA_CCM2866_Ct_robu,-17.55431,126.16461,robustus
270,1811,1248,109,NA_CCM3869_Ct_inor,-12.553874,134.028979,superciliaris
268,1836,1269,108,NA_CCM3915_Ct_vert,-12.60789,134.02547,vertebralis
274,1304,1304,103,NA_CCM3982_Ct_essi,-11.27384,132.36325,essingtonii
266,1621,2071,104,NA_CCM4743_Ct_vert,-13.11195,130.71808,storri
266,1652,1856,104,NA_CCM4823_Ct_stor,-13.17201,130.77732,storri
266,1652,1856,104,NA_CCM4824_Ct_stor,-13.17201,130.77732,storri
266,1652,1856,104,NA_CCM4853_Ct_essi,-13.17201,130.77732,essingtonii
272,2478,1067,116,NA_CCM4920_Ct_essi,-14.17983,132.18614,inornatus
276,1706,1710,105,NA_CCM5043_Ct_essi,-12.71794,131.82448,essingtonii
278,1705,1513,103,NA_CCM5044_Ct_essi,-12.72335,131.71735,essingtonii
265,2394,1237,115,NA_CCM5466_Ct_vert,-14.032029,132.306935,vertebralis
265,2394,1237,115,NA_CCM5477_Ct_vert,-14.032029,132.306935,spaldingi
268,1641,1839,103,NA_CCM6122_Ct_essi,-13.13918,130.76746,essingtonii
272,1653,1813,102,NA_CCM6150_Ct_essi,-13.11365,130.79283,essingtonii
212,5882,215,50,NA_DLR0549_Ct_broo,-28.133,123.8667,brooksi
277,1762,1691,104,NA_K021_Ct_essi,-12.686393,132.415559,essingtonii
277,1720,1662,104,NA_K073_Ct_essi,-12.622292,132.36544,essingtonii
272,1270,1654,93,NA_NEB008_Ct_essi,-11.51146,130.344433,essingtonii
268,4027,488,105,NTMR_13629_Ct_gree,-17.617,133.517,greeri
278,1648,1567,104,NTMR_13717_Ct_essi,-12.575,131.825,essingtonii
278,1950,1553,106,NTMR_13838_Ct_bore,-13.03,132.43,robustus
259,5388,431,94,NTMR_14947_Ct_calu,-20.867,130.267,calurus
273,1516,1385,110,NTMR_16195_Ct_vert,-11.95,134,vertebralis
278,1488,1727,106,NTMR_17739_Ct_bore,-12.37,130.85,robustus
270,2803,875,113,NTMR_18323_Ct_robu,-15.16083,131.6692,robustus
279,1594,1471,103,NTMR_20378_Ct_robu,-12.55,131.3,robustus
267,3170,862,113,NTMR_21670_Ct_spal,-15.533,133.183,spaldingi
274,1749,1422,102,NTMR_22166_Ct_robu,-13.26472,130.9633,robustus
269,1770,1554,104,NTMR_22188_Ct_essi,-13.41361,130.8972,essingtonii
269,1770,1554,104,NTMR_22191_Ct_essi,-13.414,130.897222,essingtonii
269,2812,811,124,NTMR_22298_Ct_spal,-15.48333,135.4122,spaldingi
269,2834,791,124,NTMR_22299_Ct_spal,-15.53306,135.4081,spaldingi
262,2931,680,118,NTMR_22325_Ct_spal,-16.01583,135.6669,spaldingi
268,2770,862,118,NTMR_22620_Ct_robu,-15.30667,135.3408,robustus
268,2770,862,118,NTMR_22621_Ct_spal,-15.30667,135.3408,spaldingi
268,2770,862,118,NTMR_22622_Ct_spal,-15.30667,135.3408,spaldingi
274,1354,1690,106,NTMR_23004_Ct_bore,-11.78222,130.7744,robustus
272,1575,1327,110,NTMR_23960_Ct_robu,-12.2175,134.9847,robustus
213,6394,219,40,NTMR_25649_Ct_leon,-25.845,133.310556,leonhardii
274,3021,712,108,NTMR_25983_Ct_spal,-16.03778,130.79,superciliaris
249,6332,219,60,QM_62378_Ct_pant,-23.833,138.083333,pantherinus
241,6224,230,57,QMJ_62373_Ct_asta,-25.36667,141.4667,astarte
249,6332,219,60,QMJ_62380_Ct_dux,-23.83333,138.0833,dux
217,3851,550,91,QMJ_74401_Ct_zebr,-20.16389,144.5183,zebrilla
236,6553,175,54,SAMAR_24578_Ct_scho,-26.88333,140.6,schomburgkii
225,6515,170,29,SAMAR_24688_Ct_leae,-28.66667,140.2167,leae
185,4523,224,20,SAMAR_25378_Ct_scho,-30.8,132.1167,schomburgkii
178,3612,301,41,SAMAR_25645_Ct_orie,-31.53333,132.2667,orientalis
179,2976,264,24,SAMAR_25688_Ct_eucl,-31.49222,131.2667,euclae
202,5894,150,24,SAMAR_26237_Ct_broo,-29.35833,134.4667,brooksi
176,3196,290,25,SAMAR_26265_Ct_scho,-31.61389,129.1056,schomburgkii
178,4907,239,26,SAMAR_28517_Ct_olym,-32.33333,136.2833,olympicus
215,6415,275,38,SAMAR_29853_Ct_leae,-25.5,131.8167,leae
215,6415,275,38,SAMAR_29939_Ct_broo,-25.5,131.8167,brooksi
215,6415,275,38,SAMAR_29946_Ct_dux,-25.5,131.8167,dux
186,5087,217,17,SAMAR_31877_Ct_regi,-30.92389,134.0303,regius
189,5127,192,17,SAMAR_31889_Ct_leae,-30.89278,134.1,leae
183,4750,205,17,SAMAR_32029_Ct_broo,-30.58556,132.2392,brooksi
185,4747,195,15,SAMAR_32054_Ct_leae,-30.55194,132.145,leae
187,5061,202,13,SAMAR_32255_Ct_scho,-29.44528,130.1744,schomburgkii
186,4813,178,12,SAMAR_32289_Ct_regi,-29.85972,130.1022,regius
186,5374,583,23,SAMAR_33571_Ct_taen,-30.16667,149.9333,taeniolatus
177,4661,584,32,SAMAR_33727_Ct_taen,-32.38333,150.6833,taeniolatus
258,3307,694,113,SAMAR_34180_Ct_bore,-16.45,134.6167,superciliaris
262,3084,853,111,SAMAR_34202_Ct_spal,-17.33333,138.25,spaldingi
260,4989,343,99,SAMAR_34260_Ct_joan,-20.05,137.0167,joanae
258,4703,420,100,SAMAR_34261_Ct_late,-19.91667,138.1667,lateralis
137,4297,972,40,SAMAR_34743_Ct_taen,-29.33333,151.9,taeniolatus
198,5626,167,13,SAMAR_34780_Ct_stra,-31.63333,137.6167,strauchii
234,6522,184,62,SAMAR_35025_Ct_aria,-26.95,140.95,ariadnae
226,6537,167,36,SAMAR_35050_Ct_scho,-28.28333,140.9,schomburgkii
226,6539,146,44,SAMAR_36034_Ct_taen,-28.75,138.4667,taeniatus
225,6467,272,45,SAMAR_36086_Ct_leae,-25.23333,131.0167,leae
174,3712,358,55,SAMAR_36575_Ct_eucl,-33.175,134.825,euclae
227,6429,225,44,SAMAR_36883_Ct_stra,-27.71667,142.8,strauchii
166,4559,304,28,SAMAR_37073_Ct_scho,-34.31667,139.5,schomburgkii
220,6337,139,32,SAMAR_37916_Ct_stra,-29.55833,137.325,strauchii
237,6609,182,41,SAMAR_38117_Ct_aria,-26.28333,136.1,ariadnae
172,4649,261,22,SAMAR_38335_Ct_orie,-34.28333,139.6333,orientalis
190,5122,250,15,SAMAR_38585_Ct_leae,-32.41667,137.75,leae
155,4359,413,34,SAMAR_39563_Ct_taen,-35.62389,140.4789,taeniatus
153,4486,408,32,SAMAR_39580_Ct_orie,-35.71583,140.8469,orientalis
200,5821,167,22,SAMAR_40597_Ct_regi,-29.45,134.2,regius
195,5623,193,18,SAMAR_40799_Ct_leae,-31.4,136.9667,leae
157,4554,317,26,SAMAR_40888_Ct_regi,-34.05,139.1833,regius
178,5322,265,18,SAMAR_41282_Ct_olym,-33.70278,140.9889,olympicus
180,5368,251,16,SAMAR_41321_Ct_scho,-33.12778,140.6444,schomburgkii
172,4943,235,18,SAMAR_41349_Ct_stra,-33.60278,139.6278,strauchii
204,6190,244,36,SAMAR_41903_Ct_scho,-27.13083,132.8636,schomburgkii
199,6087,201,34,SAMAR_42343_Ct_stra,-30.56667,139.35,strauchii
243,6439,187,54,SAMAR_42658_Ct_taen,-25.23333,139.55,taeniatus
246,5394,379,89,SAMAR_42675_Ct_pulc,-21.73333,139.55,pulchellus
244,4845,448,99,SAMAR_42687_Ct_late,-20.71667,139.55,lateralis
260,4619,506,105,SAMAR_42701_Ct_pulc,-20.36667,140.2833,pulchellus
249,4935,382,94,SAMAR_42708_Ct_pulc,-20.76667,139.4833,pulchellus
246,4776,452,82,SAMAR_42743_Ct_stra,-21.91667,144.4167,strauchii
244,5370,356,78,SAMAR_42768_Ct_late,-22.96667,142.9,lateralis
244,5370,356,78,SAMAR_42776_Ct_hebe,-22.96667,142.9,hebetior
250,5924,238,70,SAMAR_42788_Ct_hebe,-23.75,141.1333,hebetior
249,5921,256,73,SAMAR_42800_Ct_stra,-23.66667,140.9667,strauchii
248,5926,250,75,SAMAR_42823_Ct_asta,-23.55,140.6833,astarte
249,5796,266,68,SAMAR_42840_Ct_asta,-23.63333,141.6667,astarte
247,5699,310,76,SAMAR_42843_Ct_asta,-23.63333,142.2,astarte
244,5664,360,62,SAMAR_42874_Ct_stra,-24.11667,143.4167,strauchii
244,5664,360,62,SAMAR_42880_Ct_hebe,-24.11667,143.4167,hebetior
238,6243,232,58,SAMAR_42903_Ct_asta,-25.56667,141.5167,astarte
241,6392,184,58,SAMAR_42949_Ct_orie,-25.75,140.7167,astarte
242,6383,196,58,SAMAR_42950_Ct_orie,-25.68333,140.7333,astarte
242,6383,196,58,SAMAR_42955_Ct_stra,-25.68333,140.7333,strauchii
200,5901,151,24,SAMAR_43599_Ct_olym,-29.55,135.2833,olympicus
237,6622,155,47,SAMAR_43880_Ct_leae,-26.76167,139.53,leae
236,6661,168,53,SAMAR_43945_Ct_joan,-27.07139,138.6719,joanae
216,6277,149,39,SAMAR_44654_Ct_olym,-27.75,134.6222,olympicus
199,6126,280,39,SAMAR_45381_Ct_calu,-26.95333,131.4353,calurus
188,6087,253,20,SAMAR_45516_Ct_stra,-31.06667,142.55,strauchii
179,4222,273,41,SAMAR_45530_Ct_scho,-31.62361,133.4514,schomburgkii
222,6463,150,49,SAMAR_45620_Ct_olym,-29.06667,138.4833,olympicus
206,6175,293,35,SAMAR_45960_Ct_aria,-26.615,129.3139,ariadnae
208,6208,285,37,SAMAR_45963_Ct_broo,-26.48778,129.1736,brooksi
208,6208,285,37,SAMAR_45966_Ct_leae,-26.48778,129.1736,leae
201,6212,317,42,SAMAR_46104_Ct_scho,-26.11806,129.3714,schomburgkii
213,6182,138,24,SAMAR_46332_Ct_leae,-29.78417,136.9228,leae
218,6270,131,36,SAMAR_46452_Ct_scho,-29.13694,136.5664,schomburgkii
225,6412,150,35,SAMAR_47257_Ct_taen,-28.4325,136.4533,taeniatus
211,6337,174,28,SAMAR_48098_Ct_regi,-30.25778,140.9864,regius
189,5806,213,16,SAMAR_48325_Ct_scho,-32.01417,140.8422,schomburgkii
211,6306,184,26,SAMAR_48354_Ct_scho,-30.46306,140.9447,schomburgkii
212,6175,160,42,SAMAR_48386_Ct_stra,-28.21056,134.6414,strauchii
201,5994,286,31,SAMAR_48573_Ct_dux,-27.33583,130.2261,dux
197,6037,287,29,SAMAR_48699_Ct_calu,-27.01417,129.87,calurus
196,6018,290,33,SAMAR_48785_Ct_calu,-27.06083,129.8239,calurus
165,4269,327,27,SAMAR_49141_Ct_scho,-33.22194,137.1086,schomburgkii
151,3751,534,43,SAMAR_49444_Ct_orie,-36.49111,140.37,orientalis
239,6637,180,43,SAMAR_50062_Ct_scho,-26.32472,136.8394,schomburgkii
238,6672,162,52,SAMAR_50902_Ct_stra,-26.78667,138.3025,strauchii
267,3989,542,106,SAMAR_51093_Ct_spal,-17.56667,133.5333,spaldingi
210,6291,208,37,SAMAR_51242_Ct_regi,-27.02028,133.47,regius
241,6643,179,48,SAMAR_51421_Ct_regi,-26.04806,137.4675,regius
241,6639,183,49,SAMAR_51431_Ct_leae,-26.04028,137.5553,leae
227,6499,158,32,SAMAR_52787_Ct_leae,-26.90611,135.1961,leae
150,5802,313,26,SAMAR_52918_Ct_orie,-30.42778,139.145,orientalis
228,6454,239,42,SAMAR_53967_Ct_regi,-24.55528,133.2383,regius
264,4282,473,105,SAMAR_54020_Ct_joan,-18.59222,136.0894,joanae
232,6644,147,40,SAMAR_54164_Ct_regi,-27.77833,138.2758,regius
232,6639,156,44,SAMAR_54242_Ct_leae,-27.89306,137.7333,leae
267,3960,583,111,SAMAR_54433_Ct_late,-19.39472,140.2367,lateralis
269,3840,579,112,SAMAR_54463_Ct_late,-19.22639,140.3481,lateralis
235,4241,543,85,SAMAR_54485_Ct_spal,-20.98583,145.0317,spaldingi
248,5428,344,87,SAMAR_55259_Ct_late,-21.91306,140.0217,lateralis
196,3558,775,61,SAMAR_55603_Ct_taen,-24.32583,150.9403,taeniolatus
236,4295,521,84,SAMAR_55675_Ct_spal,-21.09167,145.0044,spaldingi
236,4295,521,84,SAMAR_55677_Ct_hebe,-21.09167,145.0044,hebetior
228,4003,576,88,SAMAR_55709_Ct_zebr,-20.38056,144.4222,zebrilla
220,3021,753,108,SAMAR_55799_Ct_late,-18.12833,144.6328,lateralis
235,3574,590,82,SAMAR_55848_Ct_stra,-19.8175,146.0314,zebrilla
250,2288,1755,88,SAMAR_55863_Ct_taen,-16.93333,145.7667,taeniolatus
217,4847,577,55,SAMAR_55882_Ct_taen,-24.1975,146.5508,taeniolatus
198,6025,277,29,SAMAR_56458_Ct_broo,-27.05639,129.6389,brooksi
172,4386,320,34,SAMAR_56672_Ct_broo,-32.96417,135.7872,euclae
191,5536,235,15,SAMAR_57181_Ct_regi,-28.56889,130.8564,regius
190,5539,250,17,SAMAR_57212_Ct_dux,-28.57111,130.9253,dux
190,5539,250,17,SAMAR_57213_Ct_calu,-28.57111,130.9253,calurus
163,4239,307,22,SAMAR_57722_Ct_regi,-33.22222,136.8444,regius
191,5268,223,14,SAMAR_58943_Ct_broo,-29.08639,130.2689,brooksi
175,4439,393,40,SAMAR_59192_Ct_scho,-33.49333,138.0769,schomburgkii
188,4937,194,12,SAMAR_60340_Ct_scho,-29.54111,129.1044,schomburgkii
176,3035,328,46,SAMAR_61390_Ct_eucl,-32.14722,133.1417,euclae
176,3035,328,46,SAMAR_61391_Ct_orie,-32.14722,133.1417,orientalis
204,5971,155,26,SAMAR_62424_Ct_orie,-29.29028,135.0911,olympicus
191,5488,177,12,SAMAR_62561_Ct_scho,-29.87778,133.6169,schomburgkii
225,6386,232,42,SAMAR_65908_Ct_broo,-24.33389,133.6353,brooksi
209,6173,154,18,SAMAR_66522_Ct_leae,-30.4436,137.8297,leae
159,3158,442,43,SAMR_21493_Ct_robu,-35.567,138.966667,spaldingi
189,5360,178,12,SAMR_22246_Ct_leon,-30.917,135.316667,leonhardii
177,4890,269,17,SAMR_28536_Ct_robu,-32.4,136.533333,spaldingi
180,5412,255,18,SAMR_29707_Ct_brac,-33.2,140.916667,inornatus
179,4552,296,42,SAMR_31899_Ct_atla,-32.15,134.6317,atlas
184,4750,200,16,SAMR_32080_Ct_atla,-30.547,132.1378,atlas
187,5061,202,13,SAMR_32256_Ct_atla,-29.445,130.1744,atlas
144,3232,682,45,SAMR_32932_Ct_robu,-37.367,140.65,spaldingi
179,5970,388,13,SAMR_33525_Ct_robu,-33.367,145.883333,spaldingi
200,3218,1468,37,SAMR_33695_Ct_robu,-29.433,153.366667,spaldingi
202,3745,868,41,SAMR_33876_Ct_robu,-27.617,152.783333,spaldingi
237,6610,181,40,SAMR_35905_Ct_taen,-26.283,136.083333,taeniatus
225,6467,272,45,SAMR_36098_Ct_dux,-25.233,131.0167,dux
221,6471,235,38,SAMR_36241_Ct_hele,-25.392,131.766667,regius
164,4717,315,26,SAMR_36252_Ct_brac,-34.9,140.45,inornatus
172,4768,475,42,SAMR_36313_Ct_robu,-33.017,138.1,spaldingi
232,6623,149,43,SAMR_36349_Ct_brac,-27.717,139.316667,inornatus
168,4227,298,19,SAMR_37942_Ct_atla,-33.294,137.2083,atlas
260,4762,410,97,SAMR_38776_Ct_saxa,-19.283,134.216667,superciliaris
160,4071,337,29,SAMR_39480_Ct_robu,-35.022,139.463889,spaldingi
165,4320,306,21,SAMR_40718_Ct_robu,-33.167,137.133333,spaldingi
205,6306,327,49,SAMR_42034_Ct_dux,-26.26,130.3853,dux
242,6405,198,59,SAMR_42153_Ct_pant,-25.686,140.616389,pantherinus
227,6484,167,34,SAMR_42487_Ct_stra,-27.257,135.505,strauchii
250,4940,383,94,SAMR_42708_Ct_pulc,-20.767,139.4833,pulchellus
245,5277,398,82,SAMR_42758_Ct_late,-22.667,142.933333,lateralis
244,5373,356,78,SAMR_42772_Ct_pulc,-22.967,142.9,pulchellus
243,5668,360,62,SAMR_42881_Ct_stra,-24.117,143.4167,strauchii
195,5488,230,17,SAMR_43844_Ct_quat,-28.5,129.033333,quattuordecimlineatus
198,6213,354,45,SAMR_44367_Ct_hele,-26.346,130.09,inornatus
201,6259,342,46,SAMR_44378_Ct_pant,-26.297,130.151667,pantherinus
200,6228,326,45,SAMR_44403_Ct_quat,-26.503,130.428611,quattuordecimlineatus
196,6258,233,37,SAMR_44860_Ct_pant,-26.286,131.805556,pantherinus
223,6481,151,46,SAMR_44903_Ct_stra,-29,138.505556,strauchii
211,6284,173,37,SAMR_44934_Ct_taen,-29.758,138.667778,taeniatus
213,6332,163,37,SAMR_44955_Ct_stra,-29.545,139.4117,strauchii
238,6526,155,47,SAMR_45029_Ct_stra,-26.385,140.345,strauchii
174,4698,338,37,SAMR_45310_Ct_pant,-32.243,135.133333,pantherinus
201,6116,267,39,SAMR_45385_Ct_pian,-27.004,131.355,piankai
201,6067,278,37,SAMR_45480_Ct_saxa,-27.157,131.131111,inornatus
179,4222,273,41,SAMR_45528_Ct_pant,-31.624,133.451389,pantherinus
201,6103,290,40,SAMR_45608_Ct_dux,-27.043,131.2933,dux
168,4350,295,29,SAMR_46072_Ct_eucl,-33.093,136.693889,euclae
203,6234,314,41,SAMR_46119_Ct_hele,-26.053,129.408056,inornatus
207,6201,289,36,SAMR_46165_Ct_dux,-26.517,129.2019,dux
200,5921,156,26,SAMR_46204_Ct_robu,-29.684,135.815278,spaldingi
222,6456,135,31,SAMR_46857_Ct_stra,-26.524,134.4419,strauchii
