Annual_mean_temperature,Temperature_seasonality,Annual_precipitation,Precipitation_seasonality,ID,Latitude,Longitude,taxon
223,2892,229,76,AMR_123129_Ct_zast,-25.926944,113.533889,zastictus
276,1801,1532,107,AMSR_111496_Ct_essi,-12.666,132.833,essingtonii
216,6415,215,34,AMSR_138399_Ct_uber,-29.422,142.283,uber
212,6371,172,28,AMSR_152993_Ct_uber,-29.733,141.867,uber
180,5723,269,12,AMSR_153434_Ct_uber,-33.748,143.582,olympicus
238,6419,225,58,CUMV_14305_Ct_gran,-26.226,121.5575,grandis
212,5882,215,50,CUMV_14312_Ct_gran,-28.133,123.8667,grandis
238,6419,225,58,CUMV_14357_Ct_dux,-26.226,121.5575,dux
238,6419,225,58,CUMV_14361_Ct_dux,-26.226,121.5575,dux
238,6419,225,58,CUMV_14362_Ct_dux,-26.226,121.5575,dux
212,5882,215,50,CUMV_14366_Ct_dux,-28.133,123.8667,dux
212,5882,215,50,CUMV_14367_Ct_dux,-28.133,123.8667,dux
212,5882,215,50,CUMV_14370_Ct_dux,-28.133,123.8667,dux
212,5882,215,50,CUMV_14373_Ct_dux,-28.133,123.8667,dux
212,5882,215,50,CUMV_14374_Ct_dux,-28.133,123.8667,dux
212,5882,215,50,CUMV_14377_Ct_gree,-28.133,123.8667,greeri
212,5882,215,50,CUMV_14378_Ct_gree,-28.133,123.8667,greeri
212,5882,215,50,CUMV_14408_Ct_broo,-28.133,123.8667,brooksi
212,5882,215,50,CUMV_14409_Ct_broo,-28.133,123.8667,brooksi
212,5882,215,50,CUMV_14411_Ct_broo,-28.133,123.8667,brooksi
212,5882,215,50,CUMV_14412_Ct_broo,-28.133,123.8667,brooksi
212,5882,215,50,CUMV_14467_Ct_leae,-28.133,123.8667,leae
212,5882,215,50,CUMV_14468_Ct_leae,-28.133,123.8667,leae
212,5882,215,50,CUMV_14469_Ct_leae,-28.133,123.8667,leae
212,5882,215,50,CUMV_14470_Ct_leae,-28.133,123.8667,leae
238,6419,225,58,CUMV_1450314572_Ct_pant,-26.226,121.5575,pantherinus
212,5882,215,50,CUMV_14516_Ct_pant,-28.133,123.8667,pantherinus
212,5882,215,50,CUMV_14517_Ct_pant,-28.133,123.8667,pantherinus
212,5882,215,50,CUMV_14525_Ct_pant,-28.133,123.8667,pantherinus
212,5882,215,50,CUMV_14526_Ct_pant,-28.133,123.8667,pantherinus
212,5882,215,50,CUMV_14527_Ct_pant,-28.133,123.8667,pantherinus
238,6419,225,58,CUMV_14559_Ct_pant,-26.226,121.5575,pantherinus
238,6419,225,58,CUMV_14567_Ct_pant,-26.226,121.5575,pantherinus
238,6419,225,58,CUMV_14570_Ct_pant,-26.226,121.5575,pantherinus
238,6419,225,58,CUMV_1457314504_Ct_pant,-26.226,121.5575,pantherinus
222,6407,224,44,CUMV_14576_Ct_pant,-27.586,119.5208,pantherinus
238,6419,225,58,CUMV_14591_Ct_hele,-26.226,121.5575,inornatus
238,6419,225,58,CUMV_14596_Ct_hele,-26.226,121.5575,inornatus
238,6419,225,58,CUMV_14601_Ct_hele,-26.226,121.5575,inornatus
238,6419,225,58,CUMV_14602_Ct_hele,-26.226,121.5575,inornatus
238,6419,225,58,CUMV_14604_Ct_hele,-26.226,121.5575,inornatus
212,5882,215,50,CUMV_14606_Ct_hele,-28.133,123.8667,inornatus
212,5882,215,50,CUMV_14611_Ct_hele,-28.133,123.8667,inornatus
222,6407,224,44,CUMV_14612_Ct_hele,-27.586,119.5208,inornatus
212,5882,215,50,CUMV_14656_Ct_hele,-28.133,123.8667,inornatus
222,6407,224,44,CUMV_14700_Ct_scho,-27.586,119.5208,schomburgkii
238,6419,225,58,CUMV_14730_Ct_leon,-26.226,121.5575,leonhardii
212,5882,215,50,CUMV_14742_Ct_leon,-28.133,123.8667,leonhardii
222,6407,224,44,CUMV_14744_Ct_leon,-27.586,119.5208,leonhardii
238,6419,225,58,CUMV_14812_Ct_aria,-26.226,121.5575,ariadnae
222,6407,224,44,CUMV_14817_Ct_quat,-27.586,119.5208,quattuordecimlineatus
222,6407,224,44,CUMV_14820_Ct_quat,-27.586,119.5208,quattuordecimlineatus
212,5882,215,50,CUMV_14845_Ct_calu,-28.133,123.8667,nasutus
212,5882,215,50,CUMV_14847_Ct_quat,-28.133,123.8667,quattuordecimlineatus
193,5173,217,26,NA_ABTC10487_Ct_broo,-29.96667,123.7667,brooksi
193,5173,217,26,NA_ABTC10512_Ct_leae,-29.96667,123.7667,leae
247,5628,349,76,NA_ABTC113741_Ct_saxa,-22.385,139.8564,lateralis
242,5671,398,63,NA_ABTC113798_Ct_scho,-24.08083,143.1983,schomburgkii
244,5676,381,64,NA_ABTC113879_Ct_stra,-24.09389,143.3081,strauchii
230,6346,271,49,NA_ABTC113897_Ct_hebe,-26.76278,142.5239,hebetior
230,6346,271,49,NA_ABTC113898_Ct_stra,-26.76278,142.5239,strauchii
225,6411,276,42,NA_ABTC12607_Ct_broo,-24.66667,131.8333,brooksi
222,6331,299,43,NA_ABTC12623_Ct_scho,-24.43333,131.8167,schomburgkii
215,6161,335,50,NA_ABTC31797_Ct_saxa,-23.8,133.2,inornatus
260,5374,390,96,NA_ABTC60781_Ct_hele,-20.83,130.42,inornatus
189,3282,1313,24,NA_ABTC61569_Ct_robu,-32.4,152.5,spaldingi
171,5297,322,15,NA_ABTC86833_Ct_regi,-34.58333,142.2167,regius
167,4150,281,18,NA_ABTC89250_Ct_broo,-33.37139,137.1769,euclae
254,3237,811,116,NA_CCM0090_Ct_late,-18.82119,143.40658,lateralis
272,2881,841,114,NA_CCM0535_Ct_inor,-15.61091,131.11597,superciliaris
262,2033,1282,109,NA_CCM0750_Ct_haly,-15.1276,126.1352,halysis
262,2033,1282,109,NA_CCM0751_Ct_haly,-15.1276,126.1352,halysis
261,2043,1332,110,NA_CCM0753_Ct_robu,-15.1393,126.1571,mastigura
261,2036,1338,110,NA_CCM0804_Ct_haly,-15.1328,126.1478,halysis
261,2036,1338,110,NA_CCM0816_Ct_haly,-15.1328,126.1478,halysis
261,2036,1338,110,NA_CCM0817_Ct_haly,-15.1328,126.1478,halysis
261,2043,1332,110,NA_CCM0820_Ct_haly,-15.1361,126.1523,halysis
262,2259,1182,113,NA_CCM0823_Ct_robu,-15.3383,126.5917,mastigura
267,2282,1052,113,NA_CCM0830_Ct_inor,-15.3394,126.5893,mastigura
261,2036,1338,110,NA_CCM0847_Ct_robu,-15.1328,126.1478,mastigura
264,1987,1318,110,NA_CCM0848_Ct_inor,-15.2002,125.9067,inornatus
264,1987,1318,110,NA_CCM0849_Ct_inor,-15.2002,125.9067,mastigura
264,1989,1304,110,NA_CCM0850_Ct_inor,-15.1989,125.9035,mastigura
274,1856,1054,110,NA_CCM0946_Ct_inor,-14.51903,126.45811,mastigura
264,1964,1197,106,NA_CCM0956_Ct_robu,-14.75187,126.47722,robustus
262,1951,1268,106,NA_CCM0980_Ct_mast,-14.74225,126.46691,mastigura
266,2001,1144,109,NA_CCM1006_Ct_ehma,-14.88556,126.35986,ehmanni
266,2001,1144,109,NA_CCM1013_Ct_ehma,-14.88556,126.35986,ehmanni
265,2528,812,111,NA_CCM1061_Ct_sp,-16.0969,126.5112,mastigura
273,1647,1481,119,NA_CCM1206_Ct_robu,-14.671,125.733,mastigura
270,2717,764,117,NA_CCM1249_Ct_inor,-17.06662,125.2501,inornatus
258,2380,998,119,NA_CCM1388_Ct_robu,-16.4927,125.3447,robustus
257,2364,1041,118,NA_CCM1389_Ct_robu,-16.4668,125.3723,robustus
258,2379,999,119,NA_CCM1390_Ct_inor,-16.49954,125.33637,mastigura
257,2364,1041,118,NA_CCM1409_Ct_robu,-16.4668,125.3723,robustus
258,2380,998,119,NA_CCM1412_Ct_robu,-16.494,125.3417,robustus
258,2377,986,119,NA_CCM1415_Ct_robu,-16.4894,125.3518,robustus
258,2379,1000,119,NA_CCM1424_Ct_ehma,-16.4984,125.3554,ehmanni
258,2380,998,119,NA_CCM1425_Ct_ehma,-16.494,125.3417,ehmanni
269,3361,569,111,NA_CCM1444_Ct_inor,-17.2932,127.2175,inornatus
269,3343,571,110,NA_CCM1445_Ct_inor,-17.2923,127.172,inornatus
268,2748,721,110,NA_CCM1529_Ct_inor,-16.81627,126.07679,mastigura
269,2801,730,115,NA_CCM1530_Ct_robu,-16.82743,126.21642,inornatus
263,2609,758,113,NA_CCM1579_Ct_inor,-16.53559,126.12857,mastigura
269,2806,707,113,NA_CCM1580_Ct_inor,-16.83117,126.22814,inornatus
271,2846,832,116,NA_CCM1710_Ct_inor,-15.29606,131.58511,inornatus
219,6173,325,57,NA_CCM1889_Ct_pant,-23.57577,134.40547,pantherinus
238,5509,333,79,NA_CCM1955_Ct_leon,-21.53197,133.88919,leonhardii
263,2343,1352,103,NA_CCM1971_Ct_vert,-13.73099,132.76811,vertebralis
264,2492,1051,111,NA_CCM2279_Ct_essi,-13.94383,132.90365,coggeri
264,2492,1051,111,NA_CCM2281_Ct_cogg,-13.94278,132.90286,coggeri
264,2492,1051,111,NA_CCM2292_Ct_inor,-13.94278,132.90286,superciliaris
264,2492,1051,111,NA_CCM2294_Ct_essi,-13.94278,132.90286,coggeri
258,2160,1308,110,NA_CCM2315_Ct_vert,-13.35254,132.98538,vertebralis
