group,range_size
atlas_gr_cluster_6,2
essingtonii_gr_cluster_4,970
leonhardii_gr_cluster_2,649198
leonhardii_gr_cluster_7,241973
atlas_gr_cluster_5,667017
atlas_gr_cluster_4,451352
leonhardii_gr_cluster_9,277461
schomburgkii_gr_cluster_3,474111
leonhardii_gr_cluster_8,871325
pantherinus_gr_cluster_4,2136795
pantherinus_gr_cluster_1,62994
inornatus_gr_cluster_2,2713290
schomburgkii_gr_cluster_5,1014343
leonhardii_gr_cluster_1,538066
atlas_gr_cluster_7,404208
atlas_gr_cluster_8,624583
colletti_gr_cluster_4,251820
leonhardii_gr_cluster_12,990670
inornatus_gr_cluster_5,244520
schomburgkii_gr_cluster_7,1096778
schomburgkii_gr_cluster_4,152104
leonhardii_gr_cluster_3,144926
schomburgkii_gr_cluster_2,484985
inornatus_gr_cluster_6,1105282
leonhardii_gr_cluster_10,717093
schomburgkii_gr_cluster_6,559639
inornatus_gr_cluster_4,291517
colletti_gr_cluster_2,310
inornatus_gr_cluster_9,23587
inornatus_gr_cluster_8,129819
inornatus_gr_cluster_3,415628
colletti_gr_cluster_1,NA
essingtonii_gr_cluster_5,12624
essingtonii_gr_cluster_3,443
inornatus_gr_cluster_1,118012
inornatus_gr_cluster_7,259723
essingtonii_gr_cluster_1,NA
colletti_gr_cluster_3,NA
essingtonii_gr_cluster_2,574
schomburgkii_gr_cluster_8,128653
leonhardii_gr_cluster_11,579255
leonhardii_gr_cluster_4,26714
schomburgkii_gr_cluster_1,1729
taeniolatus_gr_cluster_2,426502
essingtonii_gr_cluster_6,142399
leonhardii_gr_cluster_6,35967
atlas_gr_cluster_2,599136
atlas_gr_cluster_3,108373
pantherinus_gr_cluster_3,305964
taeniolatus_gr_cluster_1,NA
leonhardii_gr_cluster_5,1367
pantherinus_gr_cluster_2,150840
atlas_gr_cluster_1,38910
