group,niche_breadth
essingtonii_gr_cluster_4,3.26485116742954e-05
leonhardii_gr_cluster_2,0.188666847605956
leonhardii_gr_cluster_7,0.0278739928287901
atlas_gr_cluster_5,1.85942802360904
atlas_gr_cluster_4,0.0109567934819715
leonhardii_gr_cluster_9,0.576677025186549
schomburgkii_gr_cluster_3,0.0131930636427603
leonhardii_gr_cluster_8,0.0260641758967896
pantherinus_gr_cluster_4,0.338476273152592
pantherinus_gr_cluster_1,0.428970851091906
inornatus_gr_cluster_2,0.312016491810259
schomburgkii_gr_cluster_5,0.360402788728372
leonhardii_gr_cluster_1,0.013011662466159
atlas_gr_cluster_7,0.157339405852148
atlas_gr_cluster_8,0.0347728076393455
colletti_gr_cluster_4,0.0768782834491254
leonhardii_gr_cluster_12,0.409193667474743
inornatus_gr_cluster_5,0.138350391395962
schomburgkii_gr_cluster_7,0.119996267202635
schomburgkii_gr_cluster_4,0.167850649249305
leonhardii_gr_cluster_3,0.0195083872882556
schomburgkii_gr_cluster_2,0.0317970508308939
inornatus_gr_cluster_6,0.554996888451487
leonhardii_gr_cluster_10,0.063756291917563
schomburgkii_gr_cluster_6,0.212018492818912
inornatus_gr_cluster_4,0.0600997692646431
colletti_gr_cluster_2,0.000443569254254289
inornatus_gr_cluster_9,0.00726607193412298
inornatus_gr_cluster_8,0.00923009028362635
inornatus_gr_cluster_3,0.0544299856459321
essingtonii_gr_cluster_5,0.00451979193531209
essingtonii_gr_cluster_3,0.000420725364405369
inornatus_gr_cluster_1,0.464895888876322
inornatus_gr_cluster_7,0.128273234757801
essingtonii_gr_cluster_2,0.00136752518868233
schomburgkii_gr_cluster_8,0.0717099918168965
leonhardii_gr_cluster_11,0.266476696897951
leonhardii_gr_cluster_4,0.0020889271781008
schomburgkii_gr_cluster_1,0.000675301201785918
taeniolatus_gr_cluster_2,2.48142174885343
essingtonii_gr_cluster_6,0.15977134405147
leonhardii_gr_cluster_6,0.00598807764985429
atlas_gr_cluster_2,0.0828592236346202
atlas_gr_cluster_3,0.140937608514207
pantherinus_gr_cluster_3,0.932379183978625
leonhardii_gr_cluster_5,0.0654660314360866
pantherinus_gr_cluster_2,0.0464904114938132
atlas_gr_cluster_1,0.0332433837361376
